"Index","AVID.Close"
2009-01-30,10.01
2009-02-02,10.39
2009-02-03,10.63
2009-02-04,11.11
2009-02-05,11.08
2009-02-06,11.45
2009-02-09,11.2
2009-02-10,10.48
2009-02-11,10.33
2009-02-12,10.42
2009-02-13,10.31
2009-02-17,10.16
2009-02-18,10.21
2009-02-19,10.02
2009-02-20,10.01
2009-02-23,9.86
2009-02-24,10.14
2009-02-25,10
2009-02-26,10.02
2009-02-27,9.96
2009-03-02,9.7
2009-03-03,9.51
2009-03-04,9.59
2009-03-05,8.87
2009-03-06,8.67
2009-03-09,8.7
2009-03-10,9.14
2009-03-11,9.03
2009-03-12,9.48
2009-03-13,9.65
2009-03-16,9.58
2009-03-17,9.8
2009-03-18,9.94
2009-03-19,9.84
2009-03-20,9.42
2009-03-23,9.82
2009-03-24,9.51
2009-03-25,9.6
2009-03-26,9.83
2009-03-27,9.63
2009-03-30,9.27
2009-03-31,9.14
2009-04-01,9.43
2009-04-02,9.91
2009-04-03,10.04
2009-04-06,9.99
2009-04-07,9.75
2009-04-08,10
2009-04-09,10.29
2009-04-13,10
2009-04-14,10.07
2009-04-15,10.34
2009-04-16,10.84
2009-04-17,11
2009-04-20,10.63
2009-04-21,10.64
2009-04-22,10.58
2009-04-23,10.36
2009-04-24,10.58
2009-04-27,10.5
2009-04-28,10.64
2009-04-29,10.92
2009-04-30,11.07
2009-05-01,11.66
2009-05-04,12.03
2009-05-05,12.28
2009-05-06,12.37
2009-05-07,12.4
2009-05-08,12.55
2009-05-11,12.83
2009-05-12,12.94
2009-05-13,12.32
2009-05-14,12.31
2009-05-15,12.35
2009-05-18,12.87
2009-05-19,13.2
2009-05-20,13.34
2009-05-21,13.11
2009-05-22,13.09
2009-05-26,14.51
2009-05-27,14.29
2009-05-28,14.15
2009-05-29,14.24
2009-06-01,14.67
2009-06-02,15.2
2009-06-03,15.04
2009-06-04,15.36
2009-06-05,15.22
2009-06-08,14.8
2009-06-09,14.98
2009-06-10,14.32
2009-06-11,14.38
2009-06-12,14.2
2009-06-15,13.41
2009-06-16,12.79
2009-06-17,13.26
2009-06-18,13.13
2009-06-19,12.94
2009-06-22,12.71
2009-06-23,12.37
2009-06-24,12.13
2009-06-25,13.15
2009-06-26,13.51
2009-06-29,13.7
2009-06-30,13.41
2009-07-01,13.64
2009-07-02,12.49
