"Index","ACGL.Close"
2008-08-25,22.94
2008-08-26,22.77
2008-08-27,23.15
2008-08-28,23.5
2008-08-29,23.25
2008-09-02,23.42
2008-09-03,23.53
2008-09-04,23.12
2008-09-05,23.24
2008-09-08,23.77
2008-09-09,22.8
2008-09-10,22.99
2008-09-11,22.77
2008-09-12,22.81
2008-09-15,22.93
2008-09-16,24.25
2008-09-17,24.17
2008-09-18,25.56
2008-09-19,26.82
2008-09-22,24.67
2008-09-23,24.39
2008-09-24,24.53
2008-09-25,24.67
2008-09-26,24.47
2008-09-29,23.83
2008-09-30,24.34
2008-10-01,24.43
2008-10-02,24.08
2008-10-03,24.29
2008-10-06,23.57
2008-10-07,22.49
2008-10-08,21.54
2008-10-09,19.73
2008-10-10,19.14
2008-10-13,21.54
2008-10-14,20.78
2008-10-15,19.87
2008-10-16,19.17
2008-10-17,19.61
2008-10-20,20.3
2008-10-21,20.69
2008-10-22,20.05
2008-10-23,20.7
2008-10-24,20.61
2008-10-27,20.68
2008-10-28,22.59
2008-10-29,23.14
2008-10-30,23.43
2008-10-31,23.25
2008-11-03,22.64
2008-11-04,22.78
2008-11-05,21.32
2008-11-06,20.19
2008-11-07,20.26
2008-11-10,20.18
2008-11-11,20.96
2008-11-12,20.92
2008-11-13,22.32
2008-11-14,22.1
2008-11-17,21.63
2008-11-18,21.71
2008-11-19,19.65
2008-11-20,18.93
2008-11-21,20.59
2008-11-24,21.55
2008-11-25,21.44
2008-11-26,22.14
2008-11-28,22.6
2008-12-01,21.07
2008-12-02,22.11
2008-12-03,22.59
2008-12-04,21.67
2008-12-05,22.72
2008-12-08,22.7
2008-12-09,22.14
2008-12-10,22.18
2008-12-11,21.82
2008-12-12,22.57
2008-12-15,22.23
2008-12-16,22.96
2008-12-17,21.67
2008-12-18,22.16
2008-12-19,22.19
2008-12-22,21.77
2008-12-23,22.17
2008-12-24,22.45
2008-12-26,22.68
2008-12-29,22.95
2008-12-30,23.33
