"Index","TSRX.Close"
2010-12-15,3.47
2010-12-16,3.46
2010-12-17,3.25
2010-12-20,3.49
2010-12-21,3.46
2010-12-22,3.5
2010-12-23,3.6
2010-12-27,3.6
2010-12-28,3.75
2010-12-29,3.6
2010-12-30,3.62
2010-12-31,3.71
2011-01-03,3.82
2011-01-04,3.72
2011-01-05,3.89
2011-01-06,3.93
2011-01-07,3.84
2011-01-10,4.3
2011-01-11,4.38
2011-01-12,4.37
2011-01-13,4.42
2011-01-14,4.45
2011-01-18,4.45
2011-01-19,4.38
2011-01-20,4.18
2011-01-21,4.11
2011-01-24,4.35
2011-01-25,4.4
2011-01-26,4.36
2011-01-27,4.13
2011-01-28,4.4
2011-01-31,4.43
2011-02-01,4.43
2011-02-02,4.34
2011-02-03,4.35
2011-02-04,4.35
2011-02-07,4.4
2011-02-08,4.28
2011-02-09,4.39
2011-02-10,4.4
2011-02-11,4.3
2011-02-14,4.34
2011-02-15,4.4
2011-02-16,4.55
2011-02-17,4.84
2011-02-18,5.57
2011-02-22,6.04
2011-02-23,6.24
2011-02-24,5.57
2011-02-25,6.24
2011-02-28,6.73
2011-03-01,7.34
2011-03-02,6.68
2011-03-03,6.35
2011-03-04,5.89
2011-03-07,5.95
2011-03-08,5.97
2011-03-09,5.47
2011-03-10,5.41
2011-03-11,5.44
2011-03-14,5.62
2011-03-15,5.44
2011-03-16,5.4
2011-03-17,5.5
2011-03-18,5.4
2011-03-21,5.5
2011-03-22,5.49
2011-03-23,5.49
2011-03-24,5.5
2011-03-25,5.35
2011-03-28,5.3
2011-03-29,5.57
2011-03-30,5.81
2011-03-31,5.7
2011-04-01,5.87
2011-04-04,5.56
2011-04-05,5.25
2011-04-06,5.41
2011-04-07,5.39
2011-04-08,5.35
2011-04-11,5.44
2011-04-12,5.43
2011-04-13,5.25
2011-04-14,5.05
2011-04-15,5.21
2011-04-18,5.8
2011-04-19,5.91
2011-04-20,5.81
2011-04-21,5.71
2011-04-25,5.51
2011-04-26,5.7
2011-04-27,5.73
2011-04-28,5.71
2011-04-29,5.66
2011-05-02,5.68
2011-05-03,5.84
2011-05-04,5.71
2011-05-05,6.15
2011-05-06,5.94
2011-05-09,5.97
2011-05-10,5.96
2011-05-11,6.69
2011-05-12,7.48
2011-05-13,7.69
2011-05-16,8.28
2011-05-17,7.95
2011-05-18,7.6
2011-05-19,7.57
2011-05-20,7.6
2011-05-23,7.61
2011-05-24,7.98
2011-05-25,8.09
2011-05-26,7.88
2011-05-27,7.96
2011-05-31,7.97
2011-06-01,7.99
2011-06-02,8.26
2011-06-03,8.29
2011-06-06,8.25
2011-06-07,8.35
2011-06-08,8.03
2011-06-09,8.17
2011-06-10,8.32
2011-06-13,7.71
2011-06-14,7.85
2011-06-15,7.88
2011-06-16,7.82
2011-06-17,7.61
2011-06-20,7.56
2011-06-21,7.5
2011-06-22,7.43
2011-06-23,7.39
2011-06-24,7.44
2011-06-27,7.28
2011-06-28,7.63
2011-06-29,7.58
2011-06-30,7.92
2011-07-01,7.95
2011-07-05,7.92
2011-07-06,7.87
2011-07-07,7.61
2011-07-08,7.41
2011-07-11,7.26
2011-07-12,7.26
2011-07-13,7.75
2011-07-14,7.6
2011-07-15,7.82
2011-07-18,7.8
2011-07-19,7.91
2011-07-20,7.83
2011-07-21,8
2011-07-22,7.95
2011-07-25,7.86
2011-07-26,7.79
2011-07-27,8.15
2011-07-28,8.6
2011-07-29,8.74
2011-08-01,8.66
2011-08-02,8.47
2011-08-03,8.5
2011-08-04,7.27
2011-08-05,7.46
2011-08-08,6.06
2011-08-09,6.98
2011-08-10,6.45
2011-08-11,6.82
2011-08-12,6.61
2011-08-15,6.77
2011-08-16,6.62
2011-08-17,6.81
2011-08-18,6.25
2011-08-19,6.57
2011-08-22,6.3
2011-08-23,6.44
2011-08-24,6.59
2011-08-25,6.46
2011-08-26,6.69
2011-08-29,6.9
2011-08-30,6.7
2011-08-31,6.63
2011-09-01,6.34
2011-09-02,6.11
2011-09-06,6.11
2011-09-07,6.4
2011-09-08,6.28
2011-09-09,6.1
