"Index","GIMO.Close"
2014-09-04,10.49
2014-09-05,10.17
2014-09-08,10.95
2014-09-09,10.58
2014-09-10,10.75
2014-09-11,11.51
2014-09-12,11.78
2014-09-15,11.12
2014-09-16,11.01
2014-09-17,11.23
2014-09-18,11.49
2014-09-19,11.07
2014-09-22,10.45
2014-09-23,10.47
2014-09-24,10.75
2014-09-25,10.62
2014-09-26,10.81
2014-09-29,10.8
2014-09-30,10.47
2014-10-01,10.25
2014-10-02,10.97
2014-10-03,11.17
2014-10-06,10.73
2014-10-07,10.24
2014-10-08,10.52
2014-10-09,10.52
2014-10-10,10.15
2014-10-13,10.41
2014-10-14,10.74
2014-10-15,11.26
2014-10-16,11.53
2014-10-17,11.11
2014-10-20,11.3
2014-10-21,11.57
2014-10-22,11.33
2014-10-23,11.59
2014-10-24,13.25
2014-10-27,13.69
2014-10-28,14.02
2014-10-29,13.8
2014-10-30,14.19
2014-10-31,14.94
2014-11-03,14.64
2014-11-04,14.74
2014-11-05,14.23
2014-11-06,14
2014-11-07,14.3
2014-11-10,14.64
2014-11-11,14.53
2014-11-12,14.78
2014-11-13,14.28
2014-11-14,14.46
2014-11-17,13.98
2014-11-18,14.17
2014-11-19,13.86
2014-11-20,14.54
2014-11-21,14.58
2014-11-24,14.62
2014-11-25,14.62
2014-11-26,14.66
2014-11-28,14.34
2014-12-01,14.07
2014-12-02,14.49
2014-12-03,14.9
2014-12-04,15.11
2014-12-05,15.5
2014-12-08,14.85
2014-12-09,15.8
2014-12-10,15.58
2014-12-11,16.1
2014-12-12,16.04
2014-12-15,16.38
2014-12-16,16.79
2014-12-17,17.18
2014-12-18,17.15
2014-12-19,17.83
2014-12-22,17.47
2014-12-23,17.11
2014-12-24,17.43
2014-12-26,17.47
2014-12-29,17.36
2014-12-30,17.22
2014-12-31,17.73
2015-01-02,17.85
2015-01-05,17.48
2015-01-06,17.2
2015-01-07,17.6
2015-01-08,17.73
2015-01-09,17.71
2015-01-12,17.91
2015-01-13,17.06
