"Index","ASFI.Close"
2009-01-15,1.99
2009-01-16,1.91
2009-01-20,1.66
2009-01-21,1.68
2009-01-22,1.7
2009-01-23,1.82
2009-01-26,1.65
2009-01-27,1.57
2009-01-28,1.54
2009-01-29,1.54
2009-01-30,1.8
2009-02-02,1.82
2009-02-03,1.7
2009-02-04,1.64
2009-02-05,1.01
2009-02-06,1.09
2009-02-09,1.27
2009-02-10,1.35
2009-02-11,1.36
2009-02-12,1.38
2009-02-13,1.44
2009-02-17,1.4
2009-02-18,1.35
2009-02-19,1.53
2009-02-20,1.49
2009-02-23,1.61
2009-02-24,1.85
2009-02-25,1.71
2009-02-26,1.55
2009-02-27,1.63
2009-03-02,1.54
2009-03-03,1.45
2009-03-04,1.5
2009-03-05,1.5
2009-03-06,1.46
2009-03-09,1.48
2009-03-10,1.58
2009-03-11,1.56
2009-03-12,1.85
2009-03-13,1.78
2009-03-16,1.85
2009-03-17,1.95
2009-03-18,2.08
2009-03-19,2.22
2009-03-20,2.48
2009-03-23,2.5
2009-03-24,2.55
2009-03-25,2.3
2009-03-26,2.41
2009-03-27,2.45
2009-03-30,2.4
2009-03-31,2.45
2009-04-01,2.63
2009-04-02,2.68
2009-04-03,2.72
2009-04-06,2.69
2009-04-07,2.7
2009-04-08,2.72
2009-04-09,2.9
2009-04-13,2.79
2009-04-14,2.92
2009-04-15,2.89
2009-04-16,2.89
2009-04-17,2.83
2009-04-20,2.87
2009-04-21,2.88
2009-04-22,2.86
2009-04-23,2.87
2009-04-24,2.86
2009-04-27,2.89
2009-04-28,2.88
2009-04-29,2.92
2009-04-30,2.88
2009-05-01,2.89
2009-05-04,2.9
2009-05-05,2.95
2009-05-06,3.21
2009-05-07,3.64
2009-05-08,3.73
2009-05-11,3.87
2009-05-12,3.76
2009-05-13,3.5
2009-05-14,3.48
2009-05-15,3.65
2009-05-18,4
2009-05-19,4.34
2009-05-20,4.4
2009-05-21,4.5
2009-05-22,4.39
2009-05-26,4.38
2009-05-27,4.37
2009-05-28,4.41
2009-05-29,4.6
2009-06-01,4.71
2009-06-02,4.86
2009-06-03,4.88
2009-06-04,4.95
2009-06-05,5.21
2009-06-08,5.61
2009-06-09,6
