"Index","MYRX.Close"
2009-12-16,5.44
2009-12-17,5.33
2009-12-18,5.03
2009-12-21,4.98
2009-12-22,5.03
2009-12-23,5.06
2009-12-24,4.98
2009-12-28,5.22
2009-12-29,5.22
2009-12-30,5.12
2009-12-31,5.03
2010-01-04,5.41
2010-01-05,5.18
2010-01-06,5.18
2010-01-07,5.14
2010-01-08,5.13
2010-01-11,5.06
2010-01-12,5.04
2010-01-13,5.02
2010-01-14,4.97
2010-01-15,4.91
2010-01-19,4.9
2010-01-20,4.87
2010-01-21,4.73
2010-01-22,4.54
2010-01-25,4.72
2010-01-26,4.75
2010-01-27,4.58
2010-01-28,4.6
2010-01-29,4.67
2010-02-01,4.6
2010-02-02,4.56
2010-02-03,4.6
2010-02-04,4.45
2010-02-05,4.27
2010-02-08,4.2
2010-02-09,4.24
2010-02-10,4.24
2010-02-11,4.5
2010-02-12,4.71
2010-02-16,4.97
2010-02-17,4.92
2010-02-18,4.83
2010-02-19,4.8
2010-02-22,4.83
2010-02-23,4.92
2010-02-24,4.87
2010-02-25,4.9
2010-02-26,4.81
2010-03-01,4.98
2010-03-02,4.95
2010-03-03,4.83
2010-03-04,4.8
2010-03-05,4.71
2010-03-08,4.68
2010-03-09,4.79
2010-03-10,4.85
2010-03-11,4.82
2010-03-12,4.72
2010-03-15,4.58
2010-03-16,4.6
2010-03-17,4.6
2010-03-18,4.34
2010-03-19,4.46
2010-03-22,4.68
2010-03-23,4.66
2010-03-24,4.66
2010-03-25,4.6
2010-03-26,4.66
2010-03-29,4.76
2010-03-30,4.64
2010-03-31,4.52
2010-04-01,4.59
2010-04-05,4.55
2010-04-06,4.57
2010-04-07,4.52
2010-04-08,4.55
2010-04-09,4.53
2010-04-12,5
2010-04-13,5.05
2010-04-14,5.19
2010-04-15,5.03
2010-04-16,5.09
2010-04-19,5.02
2010-04-20,5.14
2010-04-21,5.18
2010-04-22,5.12
2010-04-23,5.06
2010-04-26,5.01
2010-04-27,5.06
2010-04-28,4.98
2010-04-29,4.98
2010-04-30,4.91
2010-05-03,4.81
2010-05-04,4.65
2010-05-05,4.53
2010-05-06,4.34
2010-05-07,4.24
2010-05-10,4.38
2010-05-11,4.2
2010-05-12,4.34
2010-05-13,4.34
2010-05-14,4.2
2010-05-17,4.04
2010-05-18,4.38
2010-05-19,4.44
2010-05-20,4.19
2010-05-21,4.22
2010-05-24,4.2
2010-05-25,4.08
2010-05-26,3.96
2010-05-27,4.09
2010-05-28,4.02
2010-06-01,3.94
2010-06-02,4.09
2010-06-03,4.06
2010-06-04,3.99
2010-06-07,3.82
2010-06-08,3.77
2010-06-09,3.8
2010-06-10,3.91
2010-06-11,3.91
2010-06-14,3.84
2010-06-15,3.84
2010-06-16,3.99
2010-06-17,4.11
2010-06-18,4
2010-06-21,3.85
2010-06-22,3.9
2010-06-23,3.91
2010-06-24,3.84
2010-06-25,3.84
2010-06-28,3.88
2010-06-29,3.78
2010-06-30,3.76
2010-07-01,3.72
2010-07-02,3.67
2010-07-06,3.67
2010-07-07,3.67
2010-07-08,3.61
2010-07-09,3.73
2010-07-12,3.68
2010-07-13,3.8
2010-07-14,3.74
2010-07-15,3.7
2010-07-16,3.71
2010-07-19,3.75
2010-07-20,3.75
2010-07-21,3.74
2010-07-22,3.72
2010-07-23,3.78
2010-07-26,3.88
2010-07-27,3.82
2010-07-28,3.89
2010-07-29,3.88
2010-07-30,3.83
2010-08-02,3.75
2010-08-03,3.82
2010-08-04,3.78
2010-08-05,3.75
2010-08-06,3.82
2010-08-09,3.82
2010-08-10,3.78
2010-08-11,3.67
2010-08-12,3.7
2010-08-13,3.72
2010-08-16,3.79
2010-08-17,3.78
2010-08-18,3.72
2010-08-19,3.75
2010-08-20,3.71
2010-08-23,3.71
2010-08-24,3.7
2010-08-25,3.74
2010-08-26,3.79
2010-08-27,3.82
2010-08-30,3.76
2010-08-31,3.75
2010-09-01,3.8
2010-09-02,3.81
2010-09-03,3.87
2010-09-07,3.81
2010-09-08,3.83
2010-09-09,3.88
2010-09-10,3.86
2010-09-13,3.89
2010-09-14,3.89
2010-09-15,3.81
2010-09-16,3.93
2010-09-17,3.82
2010-09-20,3.88
2010-09-21,3.86
2010-09-22,3.89
2010-09-23,3.92
2010-09-24,3.86
2010-09-27,3.84
2010-09-28,3.87
2010-09-29,3.83
2010-09-30,3.86
2010-10-01,3.77
2010-10-04,3.78
2010-10-05,3.81
2010-10-06,3.77
2010-10-07,3.75
2010-10-08,3.93
2010-10-11,3.84
2010-10-12,3.85
2010-10-13,3.94
2010-10-14,3.82
2010-10-15,3.86
2010-10-18,3.84
2010-10-19,3.81
2010-10-20,3.75
2010-10-21,3.74
2010-10-22,3.74
2010-10-25,3.74
2010-10-26,3.71
2010-10-27,3.65
2010-10-28,3.7
2010-10-29,3.67
2010-11-01,3.67
2010-11-02,3.72
2010-11-03,3.63
2010-11-04,3.57
2010-11-05,3.68
2010-11-08,3.65
2010-11-09,3.67
2010-11-10,3.67
2010-11-11,3.71
2010-11-12,3.63
2010-11-15,3.66
2010-11-16,3.68
2010-11-17,3.72
2010-11-18,3.77
2010-11-19,3.71
2010-11-22,3.68
2010-11-23,3.66
2010-11-24,3.72
2010-11-26,3.74
2010-11-29,3.79
2010-11-30,3.73
2010-12-01,3.69
2010-12-02,3.74
2010-12-03,3.76
2010-12-06,3.73
2010-12-07,3.72
2010-12-08,3.73
2010-12-09,3.85
2010-12-10,3.84
2010-12-13,3.85
2010-12-14,3.78
2010-12-15,3.71
2010-12-16,3.79
2010-12-17,3.81
2010-12-20,3.81
2010-12-21,3.83
2010-12-22,3.85
2010-12-23,4.05
2010-12-27,4.24
2010-12-28,4.21
2010-12-29,4.22
2010-12-30,4.25
2010-12-31,4.16
2011-01-03,4.25
2011-01-04,4.2
2011-01-05,4.24
2011-01-06,4.15
2011-01-07,4.12
2011-01-10,4.15
2011-01-11,4.24
2011-01-12,4.23
2011-01-13,4.23
2011-01-14,4.21
2011-01-18,4.2
2011-01-19,4.03
2011-01-20,4.05
2011-01-21,4.06
2011-01-24,4.04
2011-01-25,4.08
2011-01-26,4.06
2011-01-27,4.06
2011-01-28,3.97
2011-01-31,3.93
2011-02-01,4
2011-02-02,4.09
2011-02-03,4.07
2011-02-04,4.09
2011-02-07,4.05
