"Index","NEWN.Close"
2012-01-20,0.66
2012-01-23,0.62
2012-01-24,0.65
2012-01-25,0.66
2012-01-26,0.68
2012-01-27,0.74
2012-01-30,0.77
2012-01-31,0.72
2012-02-01,0.84
2012-02-02,0.82
2012-02-03,0.75
2012-02-06,0.72
2012-02-07,0.8
2012-02-08,1.02
2012-02-09,0.93
2012-02-10,0.9
2012-02-13,0.83
2012-02-14,0.78
2012-02-15,0.79
2012-02-16,0.77
2012-02-17,0.72
2012-02-21,0.72
2012-02-22,0.75
2012-02-23,0.74
2012-02-24,0.72
2012-02-27,0.72
2012-02-28,0.72
2012-02-29,0.72
2012-03-01,0.72
2012-03-02,0.71
2012-03-05,0.66
2012-03-06,0.65
2012-03-07,0.66
2012-03-08,0.64
2012-03-09,0.59
2012-03-12,0.58
2012-03-13,0.55
2012-03-14,0.55
2012-03-15,0.58
2012-03-16,0.58
2012-03-19,0.6
2012-03-20,0.6
2012-03-21,0.6
2012-03-22,0.61
2012-03-23,0.62
2012-03-26,0.61
2012-03-27,0.57
2012-03-28,0.54
2012-03-29,0.53
2012-03-30,0.58
2012-04-02,0.52
2012-04-03,0.53
2012-04-04,0.55
2012-04-05,0.6
2012-04-09,0.59
2012-04-10,0.57
2012-04-11,0.57
2012-04-12,0.57
2012-04-13,0.54
2012-04-16,0.54
2012-04-17,0.54
2012-04-18,0.52
2012-04-19,0.52
2012-04-20,0.52
2012-04-23,0.52
2012-04-24,0.54
2012-04-25,0.52
2012-04-26,0.52
2012-04-27,0.5
2012-04-30,0.5
2012-05-01,0.5
2012-05-02,0.47
2012-05-03,0.46
2012-05-04,0.5
2012-05-07,0.52
2012-05-08,0.48
2012-05-09,0.46
2012-05-10,0.49
2012-05-11,0.52
2012-05-14,0.52
2012-05-15,0.48
2012-05-16,0.49
2012-05-17,0.52
2012-05-18,0.54
2012-05-21,0.55
2012-05-22,0.58
2012-05-23,0.61
2012-05-24,0.62
2012-05-25,0.62
2012-05-29,0.63
2012-05-30,0.6
2012-05-31,0.6
2012-06-01,0.6
2012-06-04,0.6
2012-06-05,0.58
2012-06-06,0.59
2012-06-07,0.61
2012-06-08,0.6
2012-06-11,0.58
2012-06-12,0.58
2012-06-13,0.68
2012-06-14,0.87
2012-06-15,0.72
2012-06-18,0.68
2012-06-19,0.66
2012-06-20,0.69
2012-06-21,0.69
2012-06-22,0.65
2012-06-25,0.63
2012-06-26,0.64
2012-06-27,0.64
2012-06-28,0.62
2012-06-29,0.63
2012-07-02,0.6
2012-07-03,0.61
2012-07-05,0.6
2012-07-06,0.59
2012-07-09,0.63
2012-07-10,0.66
2012-07-11,0.63
2012-07-12,0.6
2012-07-13,0.58
2012-07-16,0.56
2012-07-17,0.55
2012-07-18,0.54
2012-07-19,0.53
2012-07-20,0.51
2012-07-23,0.51
2012-07-24,0.5
2012-07-25,0.5
2012-07-26,0.49
2012-07-27,0.47
2012-07-30,0.47
2012-07-31,0.46
2012-08-01,0.48
2012-08-02,0.5
2012-08-03,0.5
2012-08-06,0.49
2012-08-07,0.49
2012-08-08,0.5
2012-08-09,0.48
2012-08-10,0.48
2012-08-13,0.51
2012-08-14,0.49
2012-08-15,0.5
2012-08-16,0.49
2012-08-17,0.5
2012-08-20,0.52
2012-08-21,0.5
2012-08-22,0.51
2012-08-23,0.5
2012-08-24,0.5
2012-08-27,0.5
2012-08-28,0.53
2012-08-29,0.51
2012-08-30,0.52
2012-08-31,0.55
2012-09-04,0.52
2012-09-05,0.53
2012-09-06,0.5
2012-09-07,0.53
2012-09-10,0.51
2012-09-11,0.49
2012-09-12,0.5
2012-09-13,0.48
2012-09-14,0.47
2012-09-17,0.5
2012-09-18,0.52
2012-09-19,0.5
2012-09-20,0.54
2012-09-21,0.55
2012-09-24,0.52
2012-09-25,0.51
2012-09-26,0.51
2012-09-27,0.56
2012-09-28,0.54
2012-10-01,0.6
2012-10-02,0.58
2012-10-03,0.6
2012-10-04,0.56
2012-10-05,0.57
2012-10-08,0.59
2012-10-09,0.59
2012-10-10,0.59
2012-10-11,0.59
2012-10-12,0.6
2012-10-15,0.6
2012-10-16,0.56
2012-10-17,0.59
2012-10-18,0.58
2012-10-19,0.58
