"Index","CCMMW.Close"
2010-07-22,5.4
2010-07-23,5.4
2010-07-26,5.5
2010-07-27,5.5
2010-07-28,5.5
2010-07-29,8
2010-07-30,7.77
2010-08-02,7.77
2010-08-03,7.77
2010-08-04,6.5
2010-08-05,6.5
2010-08-06,6.5
2010-08-09,8.09
2010-08-10,8.09
2010-08-11,8.09
2010-08-12,8.09
2010-08-13,8.09
2010-08-16,8
2010-08-17,8
2010-08-18,8
2010-08-19,6.55
2010-08-20,6.55
2010-08-23,6.55
2010-08-24,6.55
2010-08-26,6.55
2010-08-27,6.55
2010-08-30,6.55
2010-08-31,7
2010-09-01,7
2010-09-02,7
2010-09-07,7
2010-09-08,6.5
2010-09-09,6.5
2010-09-10,6.5
2010-09-13,6.25
2010-09-14,6.5
2010-09-16,6.25
2010-09-17,6.1
2010-09-29,6
2010-09-30,5.5
2010-10-01,5.9
2010-10-04,5.75
2010-10-11,5.5
2010-10-12,5.25
2010-10-20,6.25
2010-10-25,5.2
2010-10-26,5
2010-10-27,5
2010-10-28,4.7
2010-10-29,4.5
2010-11-01,4.3
2010-11-03,4.85
2010-11-04,5.2
2010-11-11,5.3
2010-11-17,5
2010-11-29,5
2010-12-01,4.75
2010-12-03,4.5
2010-12-10,4.95
2010-12-13,4.85
2010-12-14,5
2010-12-15,5.6
2010-12-16,5.62
2010-12-17,5.95
2010-12-20,6.62
2010-12-21,6.62
2010-12-23,8
2010-12-27,7
2010-12-29,8.25
2010-12-31,8.25
2011-01-06,8.1
2011-01-10,7
2011-01-12,8.75
2011-01-18,8
2011-01-19,8.75
2011-01-21,8
2011-01-24,8
2011-01-25,8.3
2011-01-26,8.75
2011-02-01,9.5
2011-02-04,9.25
2011-02-07,9
2011-02-08,9.75
2011-02-09,10
2011-02-10,10.72
2011-02-11,11.75
2011-02-15,11.75
2011-02-25,11.5
2011-02-28,11.75
2011-03-01,11.75
2011-03-02,12.5
2011-03-03,12.12
2011-03-07,10.5
2011-03-08,11.5
2011-03-10,11.25
2011-03-11,11.25
2011-03-15,11.25
2011-03-18,11.25
2011-03-22,12
2011-03-24,12
2011-03-25,11.55
2011-03-31,11.75
2011-04-01,12.5
2011-04-04,12.5
2011-04-05,13.35
2011-04-06,15
2011-04-26,15
2011-04-27,15
2011-04-28,17.25
2011-05-02,16.25
2011-05-03,17.5
2011-05-04,19.5
2011-05-09,16.75
2011-05-10,17.05
2011-05-11,17.5
2011-05-13,17.05
2011-05-16,16.75
2011-05-17,16.25
2011-05-18,17.25
2011-05-20,17
2011-05-25,15.9
2011-05-27,15.5
2011-05-31,15.6
2011-06-01,16.25
2011-06-02,16.5
2011-06-03,16.75
2011-06-06,16.25
2011-06-07,17
2011-06-09,16.35
2011-06-21,15.5
2011-06-22,16
2011-06-24,15
2011-06-27,14.5
2011-06-30,14
2011-07-05,16.25
2011-07-06,17
