"Index","ADHD.Close"
2014-04-09,17.27
2014-04-10,16.37
2014-04-11,16.17
2014-04-14,14.95
2014-04-15,14.03
2014-04-16,14.63
2014-04-17,15.52
2014-04-21,16.62
2014-04-22,17.84
2014-04-23,17.8
2014-04-24,17.5
2014-04-25,17.27
2014-04-28,17.5
2014-04-29,17.53
2014-04-30,17.28
2014-05-01,17.07
2014-05-02,17.27
2014-05-05,16.76
2014-05-06,16.81
2014-05-07,16
2014-05-08,16
2014-05-09,15.85
2014-05-12,16.2
2014-05-13,16.23
2014-05-14,16.1
2014-05-15,16.31
2014-05-16,16.82
2014-05-19,17.18
2014-05-20,17.11
2014-05-21,16.93
2014-05-22,17.11
2014-05-23,17.2
2014-05-27,17.31
2014-05-28,17.29
2014-05-29,17.12
2014-05-30,17.11
2014-06-02,16.87
2014-06-03,16.44
2014-06-04,16.9
2014-06-05,17.28
2014-06-06,17.42
2014-06-09,17.7
2014-06-10,19
2014-06-11,20.62
2014-06-12,19.62
2014-06-13,19.54
2014-06-16,18.78
2014-06-17,19.28
2014-06-18,18.79
2014-06-19,18.7
2014-06-20,19.73
2014-06-23,18.41
2014-06-24,17.51
2014-06-25,17.97
2014-06-26,17.31
2014-06-27,17.02
2014-06-30,17.31
2014-07-01,17.94
2014-07-02,18.99
2014-07-03,19.27
2014-07-07,19.73
2014-07-08,18.54
2014-07-09,19.21
2014-07-10,18.6
2014-07-11,18.87
2014-07-14,19.1
2014-07-15,18.37
2014-07-16,17.8
2014-07-17,17.04
2014-07-18,17.03
2014-07-21,18.22
2014-07-22,17.98
2014-07-23,17.99
2014-07-24,18
2014-07-25,18.24
2014-07-28,18.02
2014-07-29,17.94
2014-07-30,18.02
2014-07-31,17.42
2014-08-01,17.32
2014-08-04,17.6
2014-08-05,18.07
2014-08-06,19.32
2014-08-07,19.46
2014-08-08,19.95
2014-08-11,20.31
2014-08-12,20.05
2014-08-13,19.8
2014-08-14,20.75
2014-08-15,21.19
2014-08-18,21.73
2014-08-19,20.67
2014-08-20,21.07
2014-08-21,20.64
2014-08-22,20.92
2014-08-25,20.68
2014-08-26,20.61
2014-08-27,19.72
2014-08-28,19.19
2014-08-29,19.26
2014-09-02,18.43
2014-09-03,18.02
2014-09-04,16.84
2014-09-05,16.66
2014-09-08,16.75
2014-09-09,16.75
2014-09-10,16.69
2014-09-11,16.6
2014-09-12,16.6
2014-09-15,16.48
2014-09-16,17.23
2014-09-17,18.11
2014-09-18,17.96
2014-09-19,17.45
2014-09-22,20.26
2014-09-23,20.37
2014-09-24,19.95
2014-09-25,18.8
2014-09-26,19.51
2014-09-29,15.91
2014-09-30,15.44
2014-10-01,13.25
2014-10-02,15.23
2014-10-03,14.11
2014-10-06,6.12
2014-10-07,6.51
2014-10-08,6.75
2014-10-09,6.53
2014-10-10,6.06
2014-10-13,5.47
2014-10-14,5.51
2014-10-15,5.45
2014-10-16,5.58
2014-10-17,5.4
2014-10-20,5.32
2014-10-21,5.12
2014-10-22,5.68
2014-10-23,4.2
2014-10-24,3.63
2014-10-27,3.53
2014-10-28,3.52
2014-10-29,3.5
2014-10-30,3.67
2014-10-31,3.62
2014-11-03,3.51
2014-11-04,3.49
2014-11-05,3.64
2014-11-06,3.87
2014-11-07,3.75
2014-11-10,3.67
2014-11-11,3.62
2014-11-12,3.62
2014-11-13,3.6
2014-11-14,3.66
2014-11-17,3.45
2014-11-18,3.24
2014-11-19,3.28
2014-11-20,3.37
2014-11-21,3.52
2014-11-24,3.47
2014-11-25,3.46
2014-11-26,3.62
2014-11-28,3.7
2014-12-01,3.55
2014-12-02,3.37
2014-12-03,3.35
2014-12-04,3.24
2014-12-05,3.27
2014-12-08,3.25
2014-12-09,3.3
2014-12-10,3.22
2014-12-11,3.25
2014-12-12,3.41
2014-12-15,3.29
2014-12-16,3.56
2014-12-17,3.82
2014-12-18,4.36
2014-12-19,4.38
2014-12-22,3.87
2014-12-23,3.76
2014-12-24,4
2014-12-26,3.94
2014-12-29,3.77
2014-12-30,3.75
2014-12-31,3.73
2015-01-02,3.81
2015-01-05,3.95
2015-01-06,3.97
2015-01-07,4
2015-01-08,4.25
2015-01-09,5.29
2015-01-12,5.6
2015-01-13,6.05
