"Index","ATMI.Close"
2007-08-21,28.99
2007-08-22,30.16
2007-08-23,30.1
2007-08-24,30.51
2007-08-27,30.06
2007-08-28,29
2007-08-29,29.4
2007-08-30,29.6
2007-08-31,30.16
2007-09-04,31.22
2007-09-05,30.9
2007-09-06,30.83
2007-09-07,30.13
2007-09-10,29.61
2007-09-11,30.33
2007-09-12,30.36
2007-09-13,30.29
2007-09-14,30.06
2007-09-17,29.42
2007-09-18,30.02
2007-09-19,30.48
2007-09-20,30.14
2007-09-21,30.05
2007-09-24,29.6
2007-09-25,29.75
2007-09-26,29.51
2007-09-27,29.78
2007-09-28,29.75
2007-10-01,31.3
2007-10-02,31.84
2007-10-03,31.27
2007-10-04,31.05
2007-10-05,31.85
2007-10-08,31.05
2007-10-09,30.67
2007-10-10,30.82
2007-10-11,31.25
2007-10-12,31.8
2007-10-15,32.3
2007-10-16,32.8
2007-10-17,33.5
2007-10-18,33.62
2007-10-19,32.92
2007-10-22,33.58
2007-10-23,33.35
2007-10-24,33.23
2007-10-25,31.28
2007-10-26,31.39
2007-10-29,31.9
2007-10-30,31.39
2007-10-31,32.14
2007-11-01,30.77
2007-11-02,31.19
2007-11-05,30.62
2007-11-06,31.12
2007-11-07,30.05
2007-11-08,30.79
2007-11-09,30.87
2007-11-12,31.13
2007-11-13,30.91
2007-11-14,30.74
2007-11-15,30.64
2007-11-16,30.9
2007-11-19,30.32
2007-11-20,30.24
2007-11-21,29.63
2007-11-23,30.28
2007-11-26,29.19
2007-11-27,29.26
2007-11-28,30.38
2007-11-29,30.39
2007-11-30,30.09
2007-12-03,30.05
2007-12-04,29.36
2007-12-05,30.37
2007-12-06,31.62
2007-12-07,31.46
2007-12-10,31.55
2007-12-11,31.05
2007-12-12,31.75
2007-12-13,32.07
2007-12-14,31
2007-12-17,30.24
2007-12-18,31.08
2007-12-19,31.27
2007-12-20,31.98
2007-12-21,33.37
2007-12-24,32.78
2007-12-26,33.01
2007-12-27,32.54
2007-12-28,32.05
2007-12-31,32.25
2008-01-02,31.29
2008-01-03,30.28
2008-01-04,28.96
2008-01-07,28.84
2008-01-08,27.87
2008-01-09,27.72
2008-01-10,28.32
2008-01-11,27.67
2008-01-14,28.42
2008-01-15,27.29
2008-01-16,27.05
2008-01-17,26.43
2008-01-18,26.49
2008-01-22,26.41
2008-01-23,27.44
2008-01-24,26.94
2008-01-25,26.87
2008-01-28,27.3
2008-01-29,26.96
2008-01-30,26.41
2008-01-31,26.3
2008-02-01,26.83
2008-02-04,27.15
2008-02-05,25.87
2008-02-06,27.57
2008-02-07,27.36
2008-02-08,27.35
2008-02-11,27.56
2008-02-12,28.09
2008-02-13,29.15
2008-02-14,28.44
2008-02-15,27.74
2008-02-19,27.68
2008-02-20,28.41
2008-02-21,28.37
2008-02-22,27.7
2008-02-25,28.17
2008-02-26,28.58
2008-02-27,29.05
2008-02-28,27.92
2008-02-29,27.34
2008-03-03,27.11
2008-03-04,27.91
2008-03-05,28.04
2008-03-06,27.27
2008-03-07,27
2008-03-10,26.58
2008-03-11,27.03
2008-03-12,26.75
2008-03-13,27.14
2008-03-14,26.22
2008-03-17,26.18
2008-03-18,27.62
2008-03-19,26.19
2008-03-20,26.6
2008-03-24,28.23
2008-03-25,28.08
2008-03-26,28.13
2008-03-27,27.41
2008-03-28,27.29
2008-03-31,27.83
2008-04-01,28.77
2008-04-02,29.15
2008-04-03,29.63
2008-04-04,29.44
2008-04-07,28.98
2008-04-08,28.42
2008-04-09,28.18
2008-04-10,28.6
2008-04-11,27.37
2008-04-14,27.1
2008-04-15,27.75
2008-04-16,29.1
2008-04-17,28.58
2008-04-18,29.26
2008-04-21,29.25
2008-04-22,29.23
2008-04-23,29.15
2008-04-24,29.71
2008-04-25,29.71
2008-04-28,29.64
2008-04-29,29.89
2008-04-30,29.44
2008-05-01,30.51
2008-05-02,30.2
2008-05-05,29.89
2008-05-06,30.23
2008-05-07,29.73
2008-05-08,30.43
2008-05-09,30.12
2008-05-12,30.72
2008-05-13,30.98
2008-05-14,30.69
2008-05-15,30.69
2008-05-16,30.6
2008-05-19,30.59
2008-05-20,30.27
2008-05-21,29.92
2008-05-22,29.82
2008-05-23,29.44
2008-05-27,30
2008-05-28,29.97
2008-05-29,29.79
2008-05-30,29.93
2008-06-02,29.25
2008-06-03,28.95
2008-06-04,28.31
2008-06-05,28.56
2008-06-06,28.5
2008-06-09,28.59
2008-06-10,28.55
2008-06-11,27.85
2008-06-12,28.17
2008-06-13,28.66
2008-06-16,29.38
2008-06-17,29.13
2008-06-18,29.2
2008-06-19,29.7
2008-06-20,28.73
2008-06-23,28.48
2008-06-24,28.32
2008-06-25,28.65
2008-06-26,28.13
2008-06-27,28.1
2008-06-30,27.92
2008-07-01,28.03
2008-07-02,27.11
2008-07-03,27.05
2008-07-07,27.22
2008-07-08,27.84
2008-07-09,26.82
2008-07-10,27.06
2008-07-11,27.32
2008-07-14,22.92
2008-07-15,23.36
2008-07-16,23.2
2008-07-17,23.48
2008-07-18,23.28
2008-07-21,23.5
2008-07-22,23.65
2008-07-23,23.38
2008-07-24,22.93
2008-07-25,22.92
2008-07-28,22.19
2008-07-29,22.86
2008-07-30,22.67
2008-07-31,22.53
2008-08-01,22.6
2008-08-04,22.29
2008-08-05,22.72
2008-08-06,22.9
2008-08-07,23.06
2008-08-08,23.76
2008-08-11,25.11
2008-08-12,24.89
2008-08-13,25.25
2008-08-14,25.2
2008-08-15,25.65
2008-08-18,24.87
2008-08-19,24.74
2008-08-20,24.78
2008-08-21,24.31
2008-08-22,24.78
2008-08-25,24.49
2008-08-26,24.1
2008-08-27,24.3
2008-08-28,24.71
2008-08-29,24.39
2008-09-02,24.11
2008-09-03,23.18
2008-09-04,20.73
2008-09-05,21.06
2008-09-08,21.28
2008-09-09,20.25
2008-09-10,20.26
2008-09-11,19.6
2008-09-12,19.25
2008-09-15,18.93
2008-09-16,19.4
2008-09-17,19.25
2008-09-18,19.61
2008-09-19,20.01
2008-09-22,19.57
2008-09-23,19.23
2008-09-24,18.78
2008-09-25,18.59
2008-09-26,18.02
2008-09-29,17.3
2008-09-30,17.98
2008-10-01,17.53
2008-10-02,16.69
2008-10-03,16.65
2008-10-06,15.68
2008-10-07,14.73
2008-10-08,14.42
2008-10-09,14.08
2008-10-10,13.52
2008-10-13,14.93
2008-10-14,14.12
2008-10-15,12.73
2008-10-16,13.53
2008-10-17,13.13
2008-10-20,13.72
2008-10-21,13.21
2008-10-22,12.22
2008-10-23,11.15
2008-10-24,10.74
2008-10-27,10.26
2008-10-28,10.86
2008-10-29,10.89
2008-10-30,11.45
2008-10-31,12.16
2008-11-03,13.19
2008-11-04,13.96
2008-11-05,13.69
2008-11-06,13.7
2008-11-07,13.55
2008-11-10,13.13
2008-11-11,12.79
2008-11-12,11.91
2008-11-13,12.81
2008-11-14,12.03
2008-11-17,11.27
2008-11-18,10.77
2008-11-19,10
2008-11-20,9.34
2008-11-21,9.32
2008-11-24,10.53
2008-11-25,10.71
2008-11-26,11.93
2008-11-28,11.92
2008-12-01,10.8
2008-12-02,11.05
2008-12-03,11.48
2008-12-04,11.56
2008-12-05,11.86
2008-12-08,11.67
2008-12-09,12.31
2008-12-10,12.62
2008-12-11,12.62
2008-12-12,13.45
2008-12-15,13.22
2008-12-16,14.96
2008-12-17,15.53
2008-12-18,14.95
2008-12-19,15.34
2008-12-22,14.94
2008-12-23,14.24
2008-12-24,15
2008-12-26,14.99
2008-12-29,14.88
2008-12-30,15.08
2008-12-31,15.43
2009-01-02,16.37
2009-01-05,16.26
2009-01-06,15.7
2009-01-07,14.42
2009-01-08,14.76
2009-01-09,13.29
2009-01-12,13.22
2009-01-13,13.1
2009-01-14,12.62
2009-01-15,12.67
2009-01-16,13.48
2009-01-20,12.79
2009-01-21,13.11
2009-01-22,12.77
2009-01-23,13.57
2009-01-26,14.07
2009-01-27,14.42
2009-01-28,14.92
2009-01-29,13.85
2009-01-30,13.51
2009-02-02,13.24
2009-02-03,13.45
2009-02-04,13.47
2009-02-05,14.01
2009-02-06,15.31
2009-02-09,14.46
2009-02-10,13.63
2009-02-11,13.82
2009-02-12,14.02
2009-02-13,16.43
2009-02-17,15.78
2009-02-18,15.27
2009-02-19,14.49
2009-02-20,14.26
2009-02-23,13.64
2009-02-24,13.89
2009-02-25,13.91
2009-02-26,13.34
2009-02-27,13.3
2009-03-02,12.3
2009-03-03,12
2009-03-04,12.74
2009-03-05,12.23
2009-03-06,12.08
2009-03-09,11.99
2009-03-10,13.14
2009-03-11,13.7
2009-03-12,14.79
2009-03-13,15.12
2009-03-16,14.1
2009-03-17,14.85
