"Index","CDCO.Close"
2008-04-22,9.31
2008-04-24,9.6
2008-04-25,10.38
2008-04-28,10.38
2008-04-30,10.05
2008-05-09,9.71
2008-05-13,9.75
2008-05-14,9.82
2008-05-16,9.75
2008-05-22,9.86
2008-05-29,10.88
2008-06-02,10.88
2008-06-04,10.07
2008-06-05,10
2008-06-09,10.01
2008-06-10,10.01
2008-06-17,10.07
2008-06-18,10.01
2008-06-19,10.05
2008-06-20,9.6
2008-06-23,9.5
2008-06-24,9.5
2008-06-26,9.6
2008-06-27,9.5
2008-06-30,9.55
2008-07-01,9.5
2008-07-11,9.65
2008-07-14,9.5
2008-07-15,9.5
2008-07-16,9.65
2008-07-17,9.99
2008-07-18,9.75
2008-07-25,9.01
2008-07-28,9.6
2008-07-29,9.75
2008-07-30,9.65
2008-08-05,9.7
2008-08-08,9.1
2008-08-12,9.65
2008-08-13,9.7
2008-08-15,10
2008-08-19,9.2
2008-08-20,9.75
2008-08-21,9.8
2008-08-25,9.8
2008-09-02,9.8
2008-09-03,9.8
2008-09-05,9.8
2008-09-08,10
2008-09-09,9.8
2008-09-10,10.01
2008-09-11,9.8
2008-09-12,9.8
2008-09-15,9.8
2008-09-16,9.8
2008-09-17,9.8
2008-09-18,9.8
2008-09-19,9.8
2008-09-22,9.8
2008-09-23,9.8
2008-09-24,9.8
2008-09-25,9.8
2008-09-30,9.51
2008-10-01,9.61
2008-10-02,9.7
2008-10-06,9.06
2008-10-07,9.3
2008-10-08,8.2
2008-10-09,8.95
2008-10-10,8.25
2008-10-13,8.9
2008-10-14,8
2008-10-15,7.25
2008-10-16,8.25
2008-10-17,8.25
2008-10-22,8.5
2008-10-23,8
2008-10-24,6.7
2008-10-27,7
2008-10-28,8
2008-10-29,8
2008-10-30,6.95
2008-10-31,8
2008-11-03,8
2008-11-04,7
2008-11-05,8.25
2008-11-07,8.2
2008-11-10,7
2008-11-11,8
2008-11-12,8.39
2008-11-13,7.8
2008-11-14,7.6
2008-11-17,7.45
2008-11-18,7.6
2008-11-19,7.6
2008-11-20,9.29
2008-11-21,7.4
2008-11-24,7
2008-11-25,7
2008-11-26,7
2008-11-28,7.5
2008-12-01,7.01
2008-12-03,8
2008-12-04,7.1
2008-12-05,6.5
2008-12-15,6.8
2008-12-16,7
2008-12-19,7.22
2008-12-23,7.1
2008-12-26,7
2008-12-29,7.5
2008-12-30,6.51
2008-12-31,7.8
2009-01-02,8
2009-01-06,7.5
2009-01-07,6.75
2009-01-08,7.25
2009-01-09,7.25
2009-01-12,7.35
2009-01-13,7.43
2009-01-14,7.41
2009-01-15,7
