"Index","TCPC.Close"
2014-01-09,17.44
2014-01-10,17.31
2014-01-13,17.05
2014-01-14,17.05
2014-01-15,17.15
2014-01-16,17.31
2014-01-17,17.33
2014-01-21,17.44
2014-01-22,17.52
2014-01-23,17.52
2014-01-24,17.23
2014-01-27,17.25
2014-01-28,17.23
2014-01-29,17.07
2014-01-30,17.3
2014-01-31,17.32
2014-02-03,17.19
2014-02-04,17.22
2014-02-05,16.98
2014-02-06,17.04
2014-02-07,17.21
2014-02-10,17.38
2014-02-11,17.47
2014-02-12,17.37
2014-02-13,17.48
2014-02-14,17.59
2014-02-18,17.84
2014-02-19,17.55
2014-02-20,17.94
2014-02-21,17.97
2014-02-24,17.83
2014-02-25,17.15
2014-02-26,17.49
2014-02-27,17.69
2014-02-28,17.68
2014-03-03,17.61
2014-03-04,17.18
2014-03-05,17.38
2014-03-06,17.53
2014-03-07,17.22
2014-03-10,16.96
2014-03-11,16.78
2014-03-12,16.69
2014-03-13,16.39
2014-03-14,16.54
2014-03-17,16.52
2014-03-18,16.51
2014-03-19,16.52
2014-03-20,16.57
2014-03-21,16.63
2014-03-24,16.74
2014-03-25,16.67
2014-03-26,16.36
2014-03-27,16.44
2014-03-28,16.68
2014-03-31,16.55
2014-04-01,16.68
2014-04-02,16.71
2014-04-03,16.84
2014-04-04,16.72
2014-04-07,16.5
2014-04-08,16.57
2014-04-09,16.65
2014-04-10,16.37
2014-04-11,16.23
2014-04-14,16.33
2014-04-15,16.32
2014-04-16,16.54
2014-04-17,16.62
2014-04-21,16.63
2014-04-22,16.63
2014-04-23,16.72
2014-04-24,16.47
2014-04-25,16.52
2014-04-28,16.3
2014-04-29,16.14
2014-04-30,16.19
2014-05-01,16.05
2014-05-02,16.1
2014-05-05,16.03
2014-05-06,15.91
2014-05-07,15.8
2014-05-08,15.84
2014-05-09,15.8
2014-05-12,15.89
2014-05-13,15.8
2014-05-14,15.86
2014-05-15,16.01
2014-05-16,16.18
2014-05-19,16.3
2014-05-20,16.28
2014-05-21,16.34
2014-05-22,16.76
2014-05-23,16.93
2014-05-27,17.03
2014-05-28,17.03
2014-05-29,17.08
2014-05-30,17.16
2014-06-02,17.06
2014-06-03,17.16
2014-06-04,17.19
2014-06-05,17.4
2014-06-06,17.51
2014-06-09,17.55
2014-06-10,17.57
2014-06-11,17.46
2014-06-12,17.48
2014-06-13,17.95
2014-06-16,17.28
2014-06-17,17.62
2014-06-18,17.66
2014-06-19,17.66
2014-06-20,17.65
2014-06-23,17.76
2014-06-24,17.71
2014-06-25,17.87
2014-06-26,18.31
2014-06-27,18.22
2014-06-30,18.21
2014-07-01,18.29
2014-07-02,18.31
2014-07-03,18.24
2014-07-07,18.01
2014-07-08,17.76
2014-07-09,17.83
2014-07-10,17.73
2014-07-11,17.7
2014-07-14,17.79
2014-07-15,17.78
2014-07-16,17.68
2014-07-17,17.57
2014-07-18,17.59
2014-07-21,17.68
2014-07-22,17.63
2014-07-23,17.67
2014-07-24,17.77
2014-07-25,17.69
2014-07-28,17.77
2014-07-29,17.25
2014-07-30,17.24
2014-07-31,17.1
2014-08-01,17.19
2014-08-04,17.2
2014-08-05,17.17
2014-08-06,17
2014-08-07,17.12
2014-08-08,17.33
2014-08-11,17.24
2014-08-12,17.17
2014-08-13,17.22
2014-08-14,17.09
2014-08-15,17.15
2014-08-18,17.29
2014-08-19,17.31
2014-08-20,17.23
2014-08-21,17.28
2014-08-22,17.32
2014-08-25,17.6
2014-08-26,17.57
2014-08-27,17.46
2014-08-28,17.59
2014-08-29,17.63
2014-09-02,17.57
2014-09-03,17.58
2014-09-04,17.62
2014-09-05,17.48
2014-09-08,17.39
2014-09-09,17.52
2014-09-10,17.51
2014-09-11,17.52
2014-09-12,17.05
2014-09-15,16.77
2014-09-16,16.57
2014-09-17,16.76
2014-09-18,16.73
2014-09-19,16.64
2014-09-22,16.42
2014-09-23,16.4
2014-09-24,16.51
2014-09-25,16.4
2014-09-26,16.43
2014-09-29,16.39
2014-09-30,16.07
2014-10-01,16.24
2014-10-02,16.02
2014-10-03,16.02
2014-10-06,15.97
2014-10-07,15.99
2014-10-08,15.9
2014-10-09,15.82
2014-10-10,15.42
2014-10-13,15.43
2014-10-14,15.38
2014-10-15,15.25
2014-10-16,16.09
2014-10-17,16.18
2014-10-20,15.97
2014-10-21,16.05
2014-10-22,16.07
2014-10-23,15.93
2014-10-24,16.08
2014-10-27,16.21
2014-10-28,16.3
2014-10-29,16.42
2014-10-30,16.51
2014-10-31,16.89
2014-11-03,16.7
2014-11-04,16.62
2014-11-05,16.61
2014-11-06,16.65
2014-11-07,16.93
2014-11-10,17.19
2014-11-11,17.04
