"Index","PCOM.Close"
2012-05-09,12.46
2012-05-10,12.53
2012-05-11,12.31
2012-05-14,12.41
2012-05-15,12.32
2012-05-16,12.37
2012-05-17,12.21
2012-05-18,11.7
2012-05-21,11.51
2012-05-22,11.11
2012-05-23,11.39
2012-05-24,11.72
2012-05-25,11.09
2012-05-29,11.25
2012-05-30,11.22
2012-05-31,11.27
2012-06-01,11.14
2012-06-04,10.97
2012-06-05,11.07
2012-06-06,11.31
2012-06-07,11.33
2012-06-08,11.35
2012-06-11,11.21
2012-06-12,10.77
2012-06-13,10.88
2012-06-14,11.33
2012-06-15,11.36
2012-06-18,11.45
2012-06-19,11.7
2012-06-20,11.8
2012-06-21,11.27
2012-06-22,11.63
2012-06-25,11.24
2012-06-26,11.35
2012-06-27,11.57
2012-06-28,11.6
2012-06-29,11.97
2012-07-02,12.19
2012-07-03,12.19
2012-07-05,12.55
2012-07-06,12.46
2012-07-09,12.46
2012-07-10,12.4
2012-07-11,12.54
2012-07-12,12.53
2012-07-13,12.71
2012-07-16,12.71
2012-07-17,12.59
2012-07-18,12.7
2012-07-19,12.83
2012-07-20,12.51
2012-07-23,12.62
2012-07-24,12.51
2012-07-25,12.36
2012-07-26,12.46
2012-07-27,12.79
2012-07-30,12.68
2012-07-31,12.51
2012-08-01,12.32
2012-08-02,12.46
2012-08-03,13.08
2012-08-06,13.08
2012-08-07,13.18
2012-08-08,12.98
2012-08-09,12.83
2012-08-10,13.03
2012-08-13,12.75
2012-08-14,12.51
2012-08-15,12.26
2012-08-16,12.02
2012-08-17,11.96
2012-08-20,12.3
2012-08-21,12.62
2012-08-22,12.59
2012-08-23,12.6
2012-08-24,12.6
2012-08-27,12.4
2012-08-28,12.15
2012-08-29,12.08
2012-08-30,12.06
2012-08-31,12.5
2012-09-04,12.46
2012-09-05,12.5
2012-09-06,12.49
2012-09-07,12.48
2012-09-10,12.34
2012-09-11,12.06
2012-09-12,12.18
2012-09-13,12.35
2012-09-14,12.48
2012-09-17,12
2012-09-18,11.68
2012-09-19,11.82
2012-09-20,11.7
2012-09-21,11.62
2012-09-24,11.46
2012-09-25,11.25
2012-09-26,11.17
2012-09-27,11.09
2012-09-28,11.49
2012-10-01,11.16
2012-10-02,11.22
2012-10-03,11.25
2012-10-04,11.17
2012-10-05,11.19
2012-10-08,11.15
2012-10-09,10.96
2012-10-10,10.49
2012-10-11,10.31
2012-10-12,10.25
2012-10-15,9.91
2012-10-16,9.98
2012-10-17,9.81
2012-10-18,9.55
2012-10-19,9.28
2012-10-22,9.4
2012-10-23,9.2
2012-10-24,9.02
2012-10-25,9.55
2012-10-26,9.27
2012-10-31,9.51
2012-11-01,9.49
2012-11-02,9.49
2012-11-05,9.54
2012-11-06,9.4
2012-11-07,9.4
2012-11-08,9.66
2012-11-09,9.65
2012-11-12,9.88
2012-11-13,9.83
2012-11-14,9.73
2012-11-15,9.51
2012-11-16,9.23
2012-11-19,9.07
2012-11-20,9.18
2012-11-21,9.32
2012-11-23,9.45
2012-11-26,9.35
2012-11-27,9.4
2012-11-28,10
2012-11-29,10.48
2012-11-30,11.02
2012-12-03,10.69
2012-12-04,10.94
2012-12-05,11.03
2012-12-06,11.32
2012-12-07,11.31
2012-12-10,11.36
2012-12-11,11.65
2012-12-12,11.51
2012-12-13,11.4
2012-12-14,11.44
2012-12-17,11.34
2012-12-18,11.57
2012-12-19,11.33
2012-12-20,11.4
2012-12-21,11.22
2012-12-24,11.25
2012-12-26,11.24
2012-12-27,11.19
2012-12-28,10.99
2012-12-31,11.14
2013-01-02,11.25
2013-01-03,10.93
2013-01-04,11.12
2013-01-07,11.06
2013-01-08,11.2
2013-01-09,11.47
2013-01-10,11.49
2013-01-11,11.89
2013-01-14,11.72
2013-01-15,11.86
2013-01-16,12.11
2013-01-17,12.11
2013-01-18,12.02
2013-01-22,11.99
2013-01-23,11.67
2013-01-24,11.52
2013-01-25,11.7
2013-01-28,11.68
2013-01-29,11.92
2013-01-30,11.79
2013-01-31,11.85
2013-02-01,11.87
2013-02-04,11.78
2013-02-05,11.88
2013-02-06,11.96
2013-02-07,11.89
2013-02-08,11.97
2013-02-11,11.86
2013-02-12,11.75
2013-02-13,11.85
2013-02-14,11.8
2013-02-15,11.86
2013-02-19,11.86
2013-02-20,11.9
2013-02-21,12
2013-02-22,12.57
2013-02-25,12.67
2013-02-26,12.66
2013-02-27,12.65
2013-02-28,12.64
2013-03-01,12.55
2013-03-04,12.79
2013-03-05,12.55
2013-03-06,12.64
2013-03-07,14.89
2013-03-08,15.03
2013-03-11,16.02
2013-03-12,15.98
2013-03-13,15.66
2013-03-14,15.75
2013-03-15,15.76
2013-03-18,15.69
2013-03-19,15.73
2013-03-20,15.63
2013-03-21,15.64
2013-03-22,15.35
2013-03-25,15.32
2013-03-26,15.4
2013-03-27,15.79
2013-03-28,15.93
2013-04-01,15.65
2013-04-02,15.74
2013-04-03,15.57
2013-04-04,15.82
2013-04-05,15.84
2013-04-08,15.84
2013-04-09,15.64
2013-04-10,15.8
2013-04-11,16.82
2013-04-12,16.87
2013-04-15,15.95
2013-04-16,16.15
2013-04-17,15.9
2013-04-18,15.94
2013-04-19,16.15
2013-04-22,15.95
2013-04-23,16.76
2013-04-24,17.3
2013-04-25,17.51
2013-04-26,17.56
2013-04-29,17.18
2013-04-30,17.46
2013-05-01,17.46
2013-05-02,17.65
2013-05-03,18.66
2013-05-06,18.35
2013-05-07,19.24
2013-05-08,19.1
2013-05-09,18.74
2013-05-10,17.87
2013-05-13,17.49
2013-05-14,17.97
2013-05-15,17.27
2013-05-16,16.92
2013-05-17,17.67
2013-05-20,18.24
2013-05-21,18.74
2013-05-22,17.13
2013-05-23,16.62
2013-05-24,16.79
2013-05-28,16.52
2013-05-29,16.16
2013-05-30,16.37
2013-05-31,16.92
2013-06-03,17.29
2013-06-04,18.25
2013-06-05,18.74
2013-06-06,19.36
2013-06-07,19.51
2013-06-10,19.74
2013-06-11,19.77
2013-06-12,19.8
2013-06-13,19.68
2013-06-14,19.71
2013-06-17,20.23
2013-06-18,20.89
2013-06-19,21.09
2013-06-20,20.35
2013-06-21,20.66
2013-06-24,20.66
2013-06-25,21.07
2013-06-26,21.75
2013-06-27,21.93
2013-06-28,21.53
2013-07-01,21.89
2013-07-02,21.72
2013-07-03,21.62
2013-07-05,21.77
2013-07-08,22.21
2013-07-09,22.17
2013-07-10,22.58
2013-07-11,22.39
2013-07-12,22.63
2013-07-15,22.33
2013-07-16,22.44
2013-07-17,22.69
2013-07-18,22.84
2013-07-19,23.03
2013-07-22,23.49
2013-07-23,23.09
2013-07-24,23.04
2013-07-25,22.96
2013-07-26,22.92
2013-07-29,22.7
2013-07-30,21.51
2013-07-31,21.7
2013-08-01,21.54
2013-08-02,22.11
2013-08-05,22.25
2013-08-06,22.68
2013-08-07,21.57
2013-08-08,21.3
2013-08-09,21.36
2013-08-12,20.97
2013-08-13,20.85
2013-08-14,20.84
2013-08-15,20.34
2013-08-16,20.35
2013-08-19,20.78
2013-08-20,20.9
2013-08-21,21.33
2013-08-22,21.31
2013-08-23,21.81
2013-08-26,22.2
2013-08-27,22.04
2013-08-28,22.03
2013-08-29,22.12
2013-08-30,21.69
2013-09-03,22.1
2013-09-04,22.2
2013-09-05,22.53
2013-09-06,22.71
2013-09-09,23.53
2013-09-10,23.5
2013-09-11,23.63
2013-09-12,23.49
2013-09-13,24.26
2013-09-16,24.27
2013-09-17,24.61
2013-09-18,24.73
2013-09-19,23.96
2013-09-20,23.76
2013-09-23,23.67
2013-09-24,23.67
2013-09-25,23.6
2013-09-26,23.93
2013-09-27,23.31
2013-09-30,23.11
2013-10-01,22.96
2013-10-02,22.7
2013-10-03,22.49
2013-10-04,22.43
2013-10-07,22.22
2013-10-08,21.71
2013-10-09,21.54
2013-10-10,22.58
2013-10-11,23.08
2013-10-14,22.59
2013-10-15,22.64
2013-10-16,22.11
2013-10-17,22.46
2013-10-18,22.47
2013-10-21,22.44
2013-10-22,21.9
2013-10-23,21.52
2013-10-24,21.65
2013-10-25,21.4
2013-10-28,22.02
2013-10-29,21.76
2013-10-30,21.42
