"Index","CM.Close"
2010-06-09,-0.01068
2010-06-10,0.02254
2010-06-11,0.00086
2010-06-14,0.00929
2010-06-15,0.04099
2010-06-16,-0.00246
2010-06-17,-0.00123
2010-06-18,0.00574
2010-06-21,0.0034
2010-06-22,-0.00969
2010-06-23,-0.01939
2010-06-24,-0.03082
2010-06-25,-0.00913
2010-06-28,-0.00657
2010-06-29,-0.069
2010-06-30,-0.02319
2010-07-01,-0.00096
2010-07-02,-0.00371
2010-07-06,0.01363
2010-07-07,0.01014
2010-07-08,0.01098
2010-07-09,0.03373
2010-07-12,-0.00939
2010-07-13,0.02302
2010-07-14,0.00356
2010-07-15,0.00797
2010-07-16,-0.03516
2010-07-19,-0.01025
2010-07-20,0.01223
2010-07-21,-0.02789
2010-07-22,0.01212
2010-07-23,0.01836
2010-07-26,0.01025
2010-07-27,0.01563
2010-07-28,0.00089
2010-07-29,0.01232
2010-07-30,0.0016
2010-08-02,0.00898
2010-08-03,-0.00217
2010-08-04,0.00792
2010-08-05,-0.00763
2010-08-06,-0.00958
2010-08-09,0.01477
2010-08-10,-0.01433
2010-08-11,-0.03156
2010-08-12,-0.0112
2010-08-13,0.00137
2010-08-16,-0.00259
2010-08-17,0.01302
2010-08-18,0.01789
2010-08-19,-0.0203
2010-08-20,-0.01826
2010-08-23,-0.00616
2010-08-24,-0.02725
2010-08-25,0.04517
2010-08-26,-0.00517
2010-08-27,0.04256
2010-08-30,0.0019
2010-08-31,-0.00894
2010-09-01,0.03045
2010-09-02,0.00171
2010-09-03,0.01668
2010-09-07,-0.01298
2010-09-08,0.0148
2010-09-09,0.00975
2010-09-10,-0.00194
2010-09-13,0.01707
2010-09-14,-0.00328
2010-09-15,-0.00288
2010-09-16,-0.00897
2010-09-17,-0.00472
2010-09-20,0.00694
2010-09-21,-0.00305
2010-09-22,-0.01172
2010-09-23,0.00252
2010-09-24,0.00461
2010-09-27,-0.01177
2010-09-28,0.00534
2010-09-29,0.00336
2010-09-30,0.0125
2010-10-01,0.00811
2010-10-04,0
2010-10-05,0.02502
2010-10-06,0.0097
2010-10-07,-0.00943
2010-10-08,0.00572
2010-10-11,-0.00346
2010-10-12,0.01336
2010-10-13,0.0021
2010-10-14,0.00079
2010-10-15,0.00144
2010-10-18,0.01093
2010-10-19,-0.01434
2010-10-20,0.02015
2010-10-21,-0.00607
2010-10-22,-0.01448
2010-10-25,0.00289
2010-10-26,-0.01159
2010-10-27,-0.01442
2010-10-28,0.01229
2010-10-29,0.01712
2010-11-01,-0.0017
2010-11-02,0.00833
2010-11-03,0.01237
2010-11-04,-9e-04
2010-11-05,0.00486
2010-11-08,0.00026
2010-11-09,-0.01607
2010-11-10,0.00388
2010-11-11,-0.01051
2010-11-12,-0.0298
2010-11-15,0.00937
2010-11-16,-0.02113
2010-11-17,0.01739
2010-11-18,0.02129
2010-11-19,0.01365
2010-11-22,-0.00116
2010-11-23,-0.02393
2010-11-24,0.02561
2010-11-26,0.00271
2010-11-29,0.00462
2010-11-30,-0.01315
2010-12-01,0.03569
2010-12-02,-0.00906
2010-12-03,-0.01246
2010-12-06,-0.02356
2010-12-07,-0.00013
2010-12-08,0.00314
2010-12-09,-0.00039
2010-12-10,0.00091
2010-12-13,0.01078
2010-12-14,0.01041
2010-12-15,0.00561
2010-12-16,-0.00254
2010-12-17,-0.0087
2010-12-20,-0.01254
2010-12-21,0.01023
2010-12-22,0.01254
2010-12-23,0.00482
2010-12-27,-0.01479
2010-12-28,0.00385
2010-12-29,0.00281
2010-12-30,0.00077
2010-12-31,-0.00013
2011-01-03,0.00458
2011-01-04,-0.00995
