"Index","WBNK.Close"
2007-08-31,13.25
2007-09-04,13.35
2007-09-05,13.17
2007-09-06,12.5
2007-09-07,12.5
2007-09-10,13.25
2007-09-11,12.65
2007-09-12,13.1
2007-09-13,13.29
2007-09-14,13.1
2007-09-17,13.3
2007-09-18,12.81
2007-09-19,12.5
2007-09-20,12.14
2007-09-21,12.25
2007-09-24,12.29
2007-09-25,12.55
2007-09-26,12.49
2007-09-27,12.75
2007-09-28,12.99
2007-10-01,12.75
2007-10-02,12.99
2007-10-03,12.99
2007-10-04,13.75
2007-10-05,13.16
2007-10-08,12.36
2007-10-09,12.55
2007-10-10,13.18
2007-10-11,13.88
2007-10-12,14
2007-10-15,12.6
2007-10-16,12.6
2007-10-17,13.49
2007-10-18,13
2007-10-19,13
2007-10-22,13.43
2007-10-23,13.5
2007-10-24,12.9
2007-10-25,13.09
2007-10-26,13
2007-10-29,12.51
2007-10-30,12.25
2007-10-31,12.5
2007-11-01,12.53
2007-11-02,12.5
2007-11-05,12.62
2007-11-06,12.62
2007-11-07,12.5
2007-11-08,12.49
2007-11-09,12.47
2007-11-12,12.45
2007-11-13,12.25
2007-11-14,12.29
2007-11-15,12.2
2007-11-16,12
2007-11-19,11.31
2007-11-20,11.1
2007-11-21,11.49
2007-11-23,12.2
2007-11-26,11.89
2007-11-27,12
2007-11-28,10.33
2007-11-29,11.65
2007-11-30,11.91
2007-12-03,12
2007-12-04,11.81
2007-12-05,10.34
2007-12-06,11.11
2007-12-07,12
2007-12-10,11.1
2007-12-11,11.6
2007-12-12,10
2007-12-17,11.6
2007-12-18,11
2007-12-19,11.05
2007-12-20,11.88
2007-12-21,11.45
2007-12-24,11.7
2007-12-26,11.25
2007-12-27,11
2007-12-28,10.25
2007-12-31,10.47
2008-01-02,10.84
2008-01-03,10.47
2008-01-04,10.29
2008-01-07,10.26
2008-01-08,8
2008-01-10,10.99
2008-01-11,10.86
2008-01-14,10.59
2008-01-15,10.62
2008-01-16,10.31
2008-01-17,10.25
2008-01-18,10.93
2008-01-22,10.6
2008-01-23,10.6
2008-01-24,10.66
2008-01-25,10.99
2008-01-28,10.61
2008-01-29,10.89
2008-01-30,10.65
2008-01-31,10.89
2008-02-01,10.7
2008-02-04,10.66
2008-02-05,10.35
2008-02-06,10.93
2008-02-07,10.79
2008-02-08,10.99
2008-02-11,10.69
2008-02-12,10.99
2008-02-13,10.99
2008-02-14,10.5
2008-02-15,10.35
2008-02-19,10.5
2008-02-20,10.89
2008-02-21,10.6
2008-02-22,10.5
2008-02-25,10.6
2008-02-27,10.26
2008-02-28,10.25
2008-02-29,10
2008-03-03,10.25
2008-03-04,9.99
2008-03-05,9.95
2008-03-06,9.85
2008-03-07,9.38
2008-03-10,6.99
2008-03-11,9.5
2008-03-12,8.95
2008-03-13,9.48
2008-03-14,9.49
2008-03-17,9.5
2008-03-18,9.5
2008-03-19,9.25
2008-03-20,9.25
2008-03-24,9.98
2008-03-25,9.41
2008-03-26,9.53
2008-03-27,9.46
2008-03-28,9.5
2008-03-31,9.5
2008-04-01,9.79
2008-04-02,9.5
2008-04-03,9.75
2008-04-04,9.5
2008-04-07,9.75
2008-04-08,9.51
2008-04-09,9.51
2008-04-10,9.5
2008-04-11,9.5
2008-04-14,9.5
2008-04-15,9.5
2008-04-16,9.51
2008-04-17,9.5
2008-04-18,9.5
2008-04-21,9.51
2008-04-22,9.51
2008-04-23,9.5
2008-04-24,9.99
2008-04-25,9.4
2008-04-28,9.4
2008-04-29,9.4
2008-04-30,9.89
2008-05-01,9.44
2008-05-02,9.3
2008-05-05,9.95
2008-05-06,9.73
2008-05-07,9.1
2008-05-08,9.11
2008-05-09,9.12
2008-05-12,8.6
2008-05-13,9.26
2008-05-14,9
2008-05-15,9.01
2008-05-16,9
2008-05-19,9
2008-05-20,9
2008-05-21,9.69
2008-05-22,9.02
2008-05-23,9.01
2008-05-27,9.6
2008-05-28,9.26
2008-05-29,9.26
2008-05-30,9.23
2008-06-02,9.59
2008-06-03,9.69
2008-06-04,9.03
2008-06-05,9
2008-06-06,8.5
2008-06-09,9
2008-06-10,9
2008-06-11,9.49
2008-06-12,7.08
2008-06-13,9
2008-06-16,7.96
2008-06-17,8.8
2008-06-18,8.8
2008-06-19,8.98
2008-06-20,8.71
2008-06-23,8.71
2008-06-24,8.7
2008-06-25,8.7
2008-06-26,8.82
2008-06-27,7.58
2008-06-30,8.24
2008-07-01,8
2008-07-02,9
2008-07-03,9.1
2008-07-07,7.76
2008-07-08,7.87
2008-07-09,8.25
2008-07-10,7.02
2008-07-11,8.5
2008-07-14,8.99
2008-07-15,8.01
2008-07-16,8.33
2008-07-17,9
2008-07-18,8.99
2008-07-21,8.53
2008-07-22,8.5
2008-07-23,8.5
2008-07-24,8.51
2008-07-25,8.53
2008-07-29,8.61
2008-07-30,8.61
2008-07-31,8.85
2008-08-01,8.95
2008-08-04,8.85
2008-08-05,8.02
2008-08-06,8.02
2008-08-07,8
2008-08-08,8.83
2008-08-11,7.91
2008-08-12,8.13
2008-08-13,8.09
2008-08-14,8
2008-08-15,7.75
2008-08-18,7.81
2008-08-19,7.49
2008-08-20,7.01
2008-08-21,6.62
2008-08-22,6.55
2008-08-25,6.45
2008-08-26,6.45
2008-08-27,6.5
2008-08-28,6.25
2008-08-29,6.5
2008-09-02,6.27
2008-09-03,6.28
2008-09-04,7.06
2008-09-08,7.45
2008-09-09,7.76
2008-09-10,7.76
2008-09-11,8.93
2008-09-12,8.99
2008-09-15,7.22
2008-09-16,7.25
2008-09-17,6.8
2008-09-18,7.8
2008-09-19,6.85
2008-09-22,6.58
2008-09-23,6.5
2008-09-24,6.59
2008-09-25,7
2008-09-26,4.88
2008-09-30,6.74
2008-10-01,6.59
2008-10-02,8
2008-10-03,6.5
2008-10-06,5.41
2008-10-07,6.69
2008-10-08,6.72
2008-10-09,10.15
2008-10-10,5.85
2008-10-13,6.25
2008-10-14,6.01
2008-10-15,6.01
2008-10-16,6
2008-10-17,6
2008-10-20,6.34
2008-10-21,6.4
2008-10-22,6.7
2008-10-23,6.75
2008-10-24,6.5
2008-10-27,6.11
2008-10-28,6.88
2008-10-29,6.02
2008-10-30,6.64
2008-10-31,6.24
2008-11-03,5.86
2008-11-04,5.88
2008-11-05,6.8
2008-11-06,6.5
2008-11-07,6.5
2008-11-10,5.86
2008-11-11,5.88
