"Index","AMBC.Close"
2014-05-20,28.59
2014-05-21,28.19
2014-05-22,28.06
2014-05-23,28.24
2014-05-27,28.29
2014-05-28,28.3
2014-05-29,28.3
2014-05-30,28.17
2014-06-02,28.42
2014-06-03,28.25
2014-06-04,28.45
2014-06-05,29.26
2014-06-06,30.15
2014-06-09,29.88
2014-06-10,29.5
2014-06-11,28.98
2014-06-12,28.75
2014-06-13,27.65
2014-06-16,27.35
2014-06-17,28.44
2014-06-18,28.66
2014-06-19,27.79
2014-06-20,27.65
2014-06-23,27.32
2014-06-24,26.8
2014-06-25,26.91
2014-06-26,27.04
2014-06-27,27.24
2014-06-30,27.31
2014-07-01,26.65
2014-07-02,25.75
2014-07-03,25.17
2014-07-07,24.48
2014-07-08,24.05
2014-07-09,23.5
2014-07-10,23.17
2014-07-11,23.05
2014-07-14,23.1
2014-07-15,22.44
2014-07-16,22.91
2014-07-17,22.96
2014-07-18,24.02
2014-07-21,24.07
2014-07-22,23.86
2014-07-23,23.75
2014-07-24,24.03
2014-07-25,23.76
2014-07-28,23.52
2014-07-29,23.32
2014-07-30,23.14
2014-07-31,22.66
2014-08-01,22.75
2014-08-04,22.95
2014-08-05,22.91
2014-08-06,23.94
2014-08-07,23.33
2014-08-08,23.86
2014-08-11,24.2
2014-08-12,23.29
2014-08-13,24.02
2014-08-14,24.45
2014-08-15,24.7
2014-08-18,25.44
2014-08-19,25.2
2014-08-20,24.93
2014-08-21,24.77
2014-08-22,24.67
2014-08-25,24.62
2014-08-26,24.29
2014-08-27,24.72
2014-08-28,24.09
2014-08-29,24.2
2014-09-02,23.91
2014-09-03,23.32
2014-09-04,23.02
2014-09-05,22.95
2014-09-08,22.77
2014-09-09,22.41
2014-09-10,22.55
2014-09-11,22.97
2014-09-12,22.88
2014-09-15,22.56
2014-09-16,22.59
2014-09-17,22.55
2014-09-18,22.65
2014-09-19,22.65
2014-09-22,22.29
2014-09-23,22.04
2014-09-24,22.2
2014-09-25,22.02
2014-09-26,22.44
2014-09-29,22.24
2014-09-30,22.1
2014-10-01,21.73
2014-10-02,21.28
2014-10-03,21.74
2014-10-06,21.15
2014-10-07,21
2014-10-08,21.25
2014-10-09,20.18
2014-10-10,19.84
2014-10-13,19.51
2014-10-14,19.72
2014-10-15,19.64
2014-10-16,21.02
2014-10-17,21.1
2014-10-20,21.43
2014-10-21,21.85
2014-10-22,21.47
2014-10-23,22.1
2014-10-24,21.83
2014-10-27,21.71
2014-10-28,22.26
2014-10-29,22.28
2014-10-30,21.89
2014-10-31,22.88
2014-11-03,22.67
2014-11-04,23.23
2014-11-05,23.25
2014-11-06,23.02
2014-11-07,23.44
2014-11-10,23.37
2014-11-11,24.81
2014-11-12,26.49
2014-11-13,26.22
2014-11-14,26.48
2014-11-17,25.74
2014-11-18,25.66
2014-11-19,25.21
2014-11-20,25.57
2014-11-21,25.64
2014-11-24,25.37
2014-11-25,25.17
2014-11-26,24.92
2014-11-28,24.56
2014-12-01,24.22
2014-12-02,24.48
2014-12-03,24.86
2014-12-04,24.75
2014-12-05,25.05
2014-12-08,25.02
2014-12-09,24.82
2014-12-10,23.91
2014-12-11,24.05
2014-12-12,23.08
2014-12-15,22.51
2014-12-16,22.46
2014-12-17,23.27
2014-12-18,23.52
2014-12-19,24.04
2014-12-22,23.93
2014-12-23,24.49
2014-12-24,24.46
2014-12-26,24.23
2014-12-29,24.38
2014-12-30,24.64
2014-12-31,24.5
2015-01-02,24.82
2015-01-05,24.53
2015-01-06,24.61
2015-01-07,25.26
2015-01-08,26.1
2015-01-09,25.96
2015-01-12,25.96
2015-01-13,26.12
