"Index","ALTI.Close"
2009-06-12,1.05
2009-06-15,1.02
2009-06-16,0.94
2009-06-17,0.94
2009-06-18,0.97
2009-06-19,0.96
2009-06-22,0.89
2009-06-23,0.87
2009-06-24,0.91
2009-06-25,0.95
2009-06-26,0.95
2009-06-29,0.94
2009-06-30,0.95
2009-07-01,0.9
2009-07-02,0.9
2009-07-06,0.86
2009-07-07,0.84
2009-07-08,0.79
2009-07-09,0.83
2009-07-10,0.8
2009-07-13,0.84
2009-07-14,0.87
2009-07-15,0.9
2009-07-16,0.88
2009-07-17,0.86
2009-07-20,0.88
2009-07-21,0.87
2009-07-22,0.84
2009-07-23,0.85
2009-07-24,0.9
2009-07-27,0.91
2009-07-28,0.99
2009-07-29,0.99
2009-07-30,0.98
2009-07-31,0.97
2009-08-03,1.01
2009-08-04,1.02
2009-08-05,1
2009-08-06,0.92
2009-08-07,0.94
2009-08-10,0.92
2009-08-12,0.9
2009-08-13,0.93
2009-08-14,0.92
2009-08-17,0.89
2009-08-18,0.88
2009-08-19,0.94
2009-08-20,1
2009-08-21,0.96
2009-08-24,0.92
2009-08-25,0.93
2009-08-26,0.91
2009-08-27,0.92
2009-08-28,0.92
2009-08-31,0.91
2009-09-01,0.89
2009-09-02,0.89
2009-09-03,0.91
2009-09-04,0.92
2009-09-08,0.95
2009-09-09,0.94
2009-09-10,1.01
2009-09-11,1.31
2009-09-14,1.18
2009-09-15,1.25
2009-09-16,1.18
2009-09-17,1.29
2009-09-18,1.29
2009-09-21,1.29
2009-09-22,1.26
2009-09-23,1.25
2009-09-24,1.15
2009-09-25,1.18
2009-09-28,1.17
2009-09-29,1.15
2009-09-30,1.15
2009-10-01,1.07
2009-10-02,1.05
2009-10-05,1.1
2009-10-06,1.13
2009-10-07,1.07
2009-10-08,1.08
2009-10-09,1.09
2009-10-12,1.07
2009-10-13,1.13
2009-10-14,1.09
2009-10-15,1.1
2009-10-16,1.09
2009-10-19,1.07
2009-10-20,1.01
2009-10-21,1.04
2009-10-22,1.03
2009-10-23,1.01
2009-10-26,1.01
2009-10-27,1.12
2009-10-28,1
2009-10-29,1.09
2009-10-30,1.03
2009-11-02,1
2009-11-03,1.03
2009-11-04,1.02
2009-11-05,1
2009-11-06,0.98
2009-11-09,0.96
2009-11-10,0.95
2009-11-11,0.94
2009-11-12,0.93
2009-11-13,0.97
2009-11-16,0.99
2009-11-17,0.96
2009-11-18,0.98
2009-11-19,0.95
2009-11-20,0.94
2009-11-23,0.93
2009-11-24,0.92
2009-11-25,0.89
2009-11-27,0.86
