"Index","DAKP.Close"
2014-02-27,1.9
2014-02-28,1.95
2014-03-03,1.9
2014-03-04,1.9
2014-03-05,1.9
2014-03-06,2.11
2014-03-07,2.1
2014-03-10,2.09
2014-03-11,2.14
2014-03-12,2.17
2014-03-13,2.15
2014-03-14,2.05
2014-03-17,1.85
2014-03-18,1.86
2014-03-19,1.9
2014-03-20,2
2014-03-21,1.93
2014-03-24,1.76
2014-03-25,1.79
2014-03-26,1.77
2014-03-27,1.75
2014-03-28,1.73
2014-03-31,1.73
2014-04-01,1.76
2014-04-02,1.66
2014-04-03,1.72
2014-04-04,1.7
2014-04-07,1.71
2014-04-08,1.63
2014-04-09,1.65
2014-04-10,1.71
2014-04-11,1.75
2014-04-14,1.66
2014-04-15,1.68
2014-04-16,1.7
2014-04-17,1.7
2014-04-21,1.69
2014-04-22,1.79
2014-04-23,1.79
2014-04-24,1.92
2014-04-25,2.02
2014-04-28,2.04
2014-04-29,1.99
2014-04-30,2
2014-05-01,2
2014-05-02,2.09
2014-05-05,2.07
2014-05-06,2.07
2014-05-07,2.1
2014-05-08,2.1
2014-05-09,2.06
2014-05-12,2.1
2014-05-13,2.1
2014-05-14,2.11
2014-05-15,2.08
2014-05-16,2.09
2014-05-19,2.12
2014-05-20,2.15
2014-05-21,2.1
2014-05-22,2.18
2014-05-23,2.1
2014-05-27,2.1
2014-05-28,2.1
2014-05-29,2.1
2014-05-30,2.1
2014-06-02,2.4
2014-06-03,2.35
2014-06-04,2.33
2014-06-05,2.29
2014-06-06,2.3
2014-06-09,2.25
2014-06-10,2.4
2014-06-11,2.3
2014-06-12,2.3
2014-06-13,2.4
2014-06-16,2.45
2014-06-17,2.57
2014-06-18,2.65
2014-06-19,2.63
2014-06-20,2.54
2014-06-23,2.58
2014-06-24,2.63
2014-06-25,2.71
2014-06-26,2.76
2014-06-27,2.81
2014-06-30,2.68
2014-07-01,2.68
2014-07-02,2.7
2014-07-03,2.7
2014-07-07,2.75
2014-07-08,2.66
2014-07-09,2.68
2014-07-10,2.47
2014-07-11,2.52
2014-07-14,2.57
2014-07-15,2.5
2014-07-16,2.42
2014-07-17,2.46
2014-07-18,2.43
2014-07-21,2.4
2014-07-22,2.46
2014-07-23,2.44
2014-07-24,2.44
2014-07-25,2.5
2014-07-28,2.42
2014-07-29,2.38
2014-07-30,2.43
2014-07-31,2.4
2014-08-01,2.49
2014-08-04,2.43
2014-08-05,2.35
2014-08-06,2.31
2014-08-07,2.25
2014-08-08,2.24
2014-08-11,2.26
2014-08-12,2.24
2014-08-13,2.15
2014-08-14,2.22
2014-08-15,2.23
2014-08-18,2.25
2014-08-19,2.23
2014-08-20,2.14
2014-08-21,2.25
2014-08-22,2.25
2014-08-25,2.3
2014-08-26,2.29
2014-08-27,2.2
2014-08-28,2.28
2014-08-29,2.35
2014-09-02,2.35
2014-09-03,2.4
2014-09-04,2.43
2014-09-05,2.44
2014-09-08,2.49
2014-09-09,2.51
2014-09-10,2.54
2014-09-11,2.51
2014-09-12,2.54
2014-09-15,2.44
2014-09-16,2.45
2014-09-17,2.54
2014-09-18,2.48
2014-09-19,2.38
2014-09-22,2.43
2014-09-23,2.38
2014-09-24,2.3
2014-09-25,2.3
2014-09-26,2.3
2014-09-29,2.3
2014-09-30,2.4
2014-10-01,2.27
2014-10-02,2.3
2014-10-03,2.16
2014-10-06,2.13
2014-10-07,2.05
2014-10-08,2.06
2014-10-09,2.03
2014-10-10,2
2014-10-13,1.9
2014-10-14,1.92
2014-10-15,1.87
2014-10-16,1.89
2014-10-17,1.94
2014-10-20,1.95
2014-10-21,1.98
2014-10-22,1.91
2014-10-23,1.9
2014-10-24,1.89
2014-10-27,1.82
2014-10-28,1.91
2014-10-29,1.77
2014-10-30,1.75
2014-10-31,1.8
2014-11-03,1.75
2014-11-04,1.69
2014-11-05,1.68
2014-11-06,1.68
2014-11-07,1.71
2014-11-10,1.7
2014-11-11,1.71
2014-11-12,1.72
2014-11-13,1.61
2014-11-14,1.61
2014-11-17,1.64
2014-11-18,1.6
2014-11-19,1.54
2014-11-20,1.54
2014-11-21,1.52
2014-11-24,1.53
2014-11-25,1.53
2014-11-26,1.57
2014-11-28,1.45
2014-12-01,1.35
2014-12-02,1.29
2014-12-03,1.28
2014-12-04,1.22
2014-12-05,1.18
2014-12-08,1.2
2014-12-09,1.16
2014-12-10,1.05
2014-12-11,0.95
2014-12-12,1.19
2014-12-15,1.49
2014-12-16,1.44
2014-12-17,1.66
2014-12-18,1.75
2014-12-19,2
2014-12-22,1.9
2014-12-23,1.82
2014-12-24,1.79
2014-12-26,1.8
2014-12-29,1.63
2014-12-30,1.69
2014-12-31,1.76
2015-01-02,1.83
2015-01-05,1.8
2015-01-06,1.8
2015-01-07,1.79
2015-01-08,1.7
2015-01-09,1.63
2015-01-12,1.57
2015-01-13,1.57
