"Index","SAEB.Close"
2010-06-07,0.55
2010-06-08,0.45
2010-06-09,0.74
2010-06-14,0.63
2010-06-15,0.65
2010-06-21,0.65
2010-07-08,0.53
2010-07-12,0.55
2010-07-13,0.53
2010-07-14,0.71
2010-07-29,0.6
2010-08-06,0.6
2010-08-11,0.53
2010-08-12,0.53
2010-08-26,0.42
2010-08-27,0.42
2010-08-30,0.42
2010-08-31,0.4
2010-09-01,0.48
2010-09-03,0.47
2010-09-07,0.37
2010-09-09,0.49
2010-09-10,0.39
2010-09-15,0.39
2010-09-16,0.42
2010-09-17,0.5
2010-09-23,0.48
2010-09-28,0.48
2010-10-01,0.48
2010-10-04,0.47
2010-10-07,0.48
2010-10-12,0.37
2010-10-25,0.48
2010-11-05,0.48
2010-11-08,0.4
2010-11-09,0.39
2010-12-02,0.4
2010-12-10,0.37
2010-12-13,0.37
2010-12-15,0.37
2010-12-20,0.36
2010-12-21,0.35
2010-12-22,0.31
2010-12-23,0.35
2010-12-27,0.39
2011-01-04,0.32
2011-01-05,0.33
2011-01-12,0.33
2011-01-13,0.33
2011-01-14,0.33
2011-01-19,0.33
2011-01-20,0.33
2011-01-26,0.35
2011-01-27,0.35
2011-02-18,0.4
2011-03-25,0.32
2011-03-30,0.27
2011-03-31,0.25
2011-04-06,0.3
2011-04-15,0.32
2011-04-28,0.32
2011-05-04,0.28
2011-05-10,0.29
2011-05-13,0.31
2011-05-17,0.34
2011-06-15,0.3
2011-06-23,0.3
2011-06-28,0.25
2011-08-09,0.27
2011-08-10,0.27
2011-08-11,0.27
2011-08-24,0.27
2011-09-21,0.27
2011-09-28,0.39
2011-09-29,0.39
2011-10-04,0.39
2011-10-07,0.39
2011-10-12,0.51
2011-10-18,0.39
2011-11-09,0.27
2011-11-10,0.27
2011-11-11,0.27
2011-11-22,0.26
2011-11-28,0.26
2011-12-22,0.3
2011-12-28,0.28
2011-12-29,0.52
2012-01-11,0.5
2012-01-12,0.28
2012-01-13,0.29
2012-01-19,0.28
2012-01-26,0.27
2012-01-31,0.26
2012-02-10,0.65
2012-02-13,0.6
2012-02-15,0.6
2012-02-16,0.59
2012-02-17,0.59
2012-02-21,0.6
2012-02-22,0.43
2012-02-23,0.64
2012-02-27,0.5
2012-02-28,0.42
2012-02-29,0.46
2012-03-01,0.47
2012-03-02,0.4
2012-03-05,0.42
2012-03-07,0.45
2012-03-08,0.45
2012-03-09,0.45
2012-03-12,0.4
2012-03-13,0.4
2012-03-14,0.4
2012-03-15,0.4
2012-03-16,0.4
2012-03-19,0.35
2012-03-20,0.37
2012-03-21,0.55
2012-03-28,0.4
2012-03-29,0.37
2012-03-30,0.4
2012-04-02,0.4
2012-04-03,0.44
2012-04-04,0.37
2012-04-09,0.35
2012-04-10,0.38
2012-04-11,0.38
2012-04-16,0.4
2012-04-17,0.35
2012-05-01,0.35
2012-05-09,0.34
2012-05-18,0.32
2012-05-24,0.32
2012-05-25,0.32
2012-05-29,0.32
2012-05-30,0.32
2012-06-05,0.32
2012-06-08,0.32
2012-06-11,0.32
2012-06-12,0.32
2012-06-13,0.32
2012-06-14,0.32
2012-06-15,0.32
2012-06-18,0.32
2012-06-20,0.33
2012-06-25,0.5
2012-06-26,0.32
2012-06-28,0.35
2012-06-29,0.3
2012-07-03,0.34
2012-07-09,0.34
2012-07-10,0.34
2012-07-11,0.45
2012-07-20,0.43
2012-07-23,0.43
2012-07-26,0.42
2012-07-30,0.41
2012-08-06,0.39
2012-08-16,0.33
2012-08-17,0.32
2012-08-20,0.33
2012-08-21,0.31
2012-08-22,0.33
2012-08-27,0.41
2012-08-28,0.38
2012-08-31,0.35
2012-09-05,0.35
2012-09-07,0.38
2012-09-11,0.38
2012-09-12,0.38
2012-09-13,0.38
2012-09-14,0.39
2012-09-27,0.38
2012-10-05,0.38
2012-10-10,0.38
2012-11-30,0.3
2012-12-03,0.34
2012-12-17,0.35
2012-12-18,0.35
2012-12-27,0.34
2012-12-28,0.35
2013-01-02,0.35
2013-01-04,0.31
2013-01-08,0.33
2013-01-10,0.33
2013-01-15,0.33
2013-01-16,0.32
2013-01-24,0.31
2013-01-30,0.32
2013-02-05,0.32
2013-02-06,0.32
2013-02-07,0.32
2013-02-13,0.32
2013-02-14,0.32
2013-02-19,0.3
2013-02-21,0.31
2013-02-25,0.31
2013-02-26,0.3
2013-02-28,0.31
2013-03-04,0.29
2013-03-05,0.29
2013-03-13,0.31
2013-03-14,0.31
2013-03-15,0.31
2013-03-18,0.35
2013-03-25,0.32
2013-03-28,0.33
2013-04-01,0.33
2013-04-02,0.33
2013-04-03,0.33
2013-04-05,0.34
2013-04-08,0.34
2013-04-15,0.38
2013-04-17,0.36
2013-04-18,0.35
2013-04-19,0.35
2013-04-23,0.35
2013-04-25,0.37
2013-04-29,0.36
2013-04-30,0.36
2013-05-08,0.36
2013-05-15,0.36
2013-05-20,0.33
2013-05-28,0.36
2013-05-29,0.36
2013-06-05,0.34
2013-06-07,0.35
2013-06-10,0.39
2013-06-11,0.39
2013-06-12,0.38
2013-06-13,0.38
2013-06-18,0.38
2013-06-19,0.38
2013-06-21,0.39
2013-06-24,0.38
2013-06-25,0.4
2013-06-26,0.4
2013-06-27,0.41
2013-06-28,0.42
2013-07-01,0.44
2013-07-02,0.45
2013-07-03,0.45
2013-07-08,0.44
2013-07-10,0.45
2013-07-12,0.44
2013-07-16,0.42
2013-07-17,0.44
2013-07-18,0.44
2013-07-19,0.44
2013-07-22,0.45
2013-07-23,0.46
2013-07-24,0.46
2013-07-25,0.46
2013-07-26,0.46
2013-07-29,0.48
2013-07-30,0.47
2013-07-31,0.46
2013-08-01,0.46
2013-08-06,0.46
2013-08-07,0.46
2013-08-08,0.49
