"Index","STCA.Close"
2010-12-31,0
2011-01-05,-0.81093
2011-01-06,0.55962
2011-01-07,-0.15415
2011-01-11,0
2011-01-12,0.28768
2011-01-19,0.11778
2011-01-21,0.10536
2011-01-24,0.09531
2011-01-26,-0.31845
2011-02-02,-0.28768
2011-02-03,-0.40547
2011-02-04,0
2011-02-07,0.69315
2011-02-10,0
2011-02-11,0
2011-02-14,0
2011-02-15,0
2011-02-16,0
2011-02-17,0.22314
2011-02-18,-0.22314
2011-02-22,0.22314
2011-02-23,0.40547
2011-02-25,-0.62861
2011-03-01,-0.28768
2011-03-02,0.28768
2011-03-04,0
2011-03-10,-0.13353
2011-03-15,0.13353
2011-03-17,-0.13353
2011-03-24,0
2011-03-28,0.13353
2011-03-31,0
2011-04-04,0
2011-04-05,-0.13353
2011-04-11,0.13353
2011-04-14,-0.13353
2011-04-15,0
2011-04-18,-0.15415
2011-04-21,-0.18232
2011-04-25,0
2011-04-26,0
2011-05-02,0
2011-05-13,-0.22314
2011-05-16,0.55962
2011-06-03,0
2011-06-10,-0.15415
2011-06-16,-0.40547
2011-06-23,0
2011-06-24,0
2011-07-08,0.40547
2011-07-22,0
2011-07-29,0
2011-08-02,0.15415
2011-08-10,0
2011-08-17,-0.55962
2011-08-26,0.22314
2011-08-29,0.18232
2011-08-30,0
2011-09-06,-0.18232
2011-09-07,0
2011-09-15,0
2011-09-20,-0.22314
2011-09-21,0
2011-09-27,0.22314
2011-09-28,0
2011-10-10,-1.60944
2011-10-11,0
2011-10-12,0.69315
2011-10-13,0
2011-10-21,0
2011-10-26,0
2011-11-11,0
2011-11-14,0
2011-11-16,0
2011-11-22,0.69315
2011-11-23,-0.69315
2011-11-29,0.40547
2011-11-30,0.28768
2011-12-01,-0.69315
2011-12-02,0.69315
2011-12-07,0
2011-12-08,0
2011-12-09,0.22314
2011-12-12,-0.22314
2011-12-13,0.22314
2011-12-14,-0.22314
2011-12-15,-0.69315
2011-12-21,0
2011-12-23,0
2011-12-27,0
2011-12-29,0
2011-12-30,0.69315
2012-01-03,0.22314
2012-01-06,0
2012-01-10,0.47
2012-01-11,-0.47
2012-01-20,0.47
2012-01-27,0
2012-02-06,-0.69315
2012-02-22,0
2012-03-06,0
2012-03-14,0
2012-03-27,-0.28768
2012-03-28,0.28768
2012-04-12,-0.69315
2012-04-20,0
2012-05-25,0
2012-05-29,0
2012-06-08,-0.69315
2012-06-13,0
2012-07-17,0
2012-08-14,0.69315
2012-08-15,0.69315
2012-08-24,-0.69315
2012-08-27,0.40547
2012-09-17,-0.40547
2012-09-18,-0.69315
2012-09-19,0
2012-10-11,0
2012-10-16,0
2012-11-13,1.38629
2012-11-19,-Inf
2012-11-21,NA
2012-12-04,NA
2012-12-05,NA
2012-12-10,NA
2012-12-13,Inf
2012-12-18,-Inf
2012-12-19,NA
2012-12-28,NA
2012-12-31,NA
2013-02-06,NA
2013-02-11,NA
2013-02-12,NA
2013-02-15,NA
2013-02-19,NA
2013-03-04,NA
2013-04-11,NA
2013-04-30,NA
2013-05-03,NA
2013-06-07,NA
2013-06-12,NA
2013-06-13,NA
2013-06-25,NA
2013-07-17,NA
2013-07-24,NA
2013-08-07,NA
2013-09-03,NA
2013-09-20,NA
2013-10-21,NA
2013-10-22,NA
2013-10-24,NA
2013-11-18,NA
2013-11-25,NA
2013-12-09,NA
2013-12-10,NA
2013-12-11,NA
2013-12-16,NA
2013-12-23,NA
2013-12-26,NA
2013-12-31,NA
2014-01-13,Inf
2014-01-15,-Inf
2014-01-21,NA
2014-02-12,Inf
2014-02-13,-Inf
2014-02-21,NA
2014-03-11,NA
2014-03-14,NA
2014-03-28,NA
2014-04-15,NA
2014-04-25,NA
2014-05-22,NA
2014-05-23,NA
2014-05-28,NA
2014-06-11,NA
2014-07-08,NA
2014-07-16,NA
2014-07-28,NA
