"Index","ASTE.Close"
2009-06-24,28.6
2009-06-25,29.33
2009-06-26,30.23
2009-06-29,30.19
2009-06-30,29.69
2009-07-01,29.09
2009-07-02,27.98
2009-07-06,26.82
2009-07-07,24.39
2009-07-08,23.84
2009-07-09,23.66
2009-07-10,24.21
2009-07-13,25.14
2009-07-14,24.74
2009-07-15,25.38
2009-07-16,26.19
2009-07-17,25.73
2009-07-20,25.45
2009-07-21,25.59
2009-07-22,24.4
2009-07-23,26.27
2009-07-24,26.34
2009-07-27,26.17
2009-07-28,26.09
2009-07-29,26.02
2009-07-30,26.54
2009-07-31,27.06
2009-08-03,28.56
2009-08-04,29.38
2009-08-05,28.61
2009-08-06,28.21
2009-08-07,29.29
2009-08-10,29.13
2009-08-11,28.49
2009-08-12,28.84
2009-08-13,29.08
2009-08-14,28
2009-08-17,26.24
2009-08-18,26.88
2009-08-19,26.47
2009-08-20,26.64
2009-08-21,26.95
2009-08-24,27.04
2009-08-25,27.14
2009-08-26,27.16
2009-08-27,26.74
2009-08-28,26.07
2009-08-31,25.33
2009-09-01,24.98
2009-09-02,24.73
2009-09-03,25.24
2009-09-04,25.17
2009-09-08,25.38
2009-09-09,25.8
2009-09-10,26.49
2009-09-11,26.28
2009-09-14,26.22
2009-09-15,26.38
2009-09-16,26.6
2009-09-17,26.35
2009-09-18,26.66
2009-09-21,26.26
2009-09-22,26.84
2009-09-23,26.58
2009-09-24,25.98
2009-09-25,25.4
2009-09-28,25.8
2009-09-29,25.75
2009-09-30,25.47
2009-10-01,24.28
2009-10-02,24.63
2009-10-05,24.74
2009-10-06,25.23
2009-10-07,25.18
2009-10-08,25.55
2009-10-09,25.74
2009-10-12,26.07
2009-10-13,26.35
2009-10-14,27.33
2009-10-15,27.7
2009-10-16,26.99
2009-10-19,27.47
2009-10-20,25.61
2009-10-21,25.01
2009-10-22,25.01
2009-10-23,24.78
2009-10-26,24.14
2009-10-27,23.17
2009-10-28,23.01
2009-10-29,23.42
2009-10-30,23
2009-11-02,23.52
2009-11-03,24.14
2009-11-04,23.67
2009-11-05,24.54
2009-11-06,24.25
2009-11-09,26.8
2009-11-10,26.54
2009-11-11,26.72
2009-11-12,25.49
2009-11-13,25.92
2009-11-16,26.41
2009-11-17,26.08
2009-11-18,26
2009-11-19,25.8
2009-11-20,25.42
2009-11-23,25.93
2009-11-24,25.8
2009-11-25,25.59
2009-11-27,24.77
2009-11-30,24.96
2009-12-01,24.78
2009-12-02,25.22
2009-12-03,24.59
2009-12-04,25.2
2009-12-07,25.15
2009-12-08,24.46
2009-12-09,24.46
2009-12-10,24.29
2009-12-11,24.27
2009-12-14,24.93
2009-12-15,24.83
2009-12-16,25.42
2009-12-17,25.23
2009-12-18,25.34
2009-12-21,25.93
2009-12-22,26.3
2009-12-23,26.65
2009-12-24,27.01
2009-12-28,27.04
2009-12-29,26.92
2009-12-30,26.76
2009-12-31,26.94
2010-01-04,27.56
2010-01-05,27.37
2010-01-06,27.08
2010-01-07,27.24
2010-01-08,28.4
2010-01-11,28.47
2010-01-12,28.36
2010-01-13,29.48
2010-01-14,30.01
2010-01-15,29.13
2010-01-19,29.13
2010-01-20,28.21
2010-01-21,27.51
2010-01-22,26.84
2010-01-25,26.26
2010-01-26,25.51
2010-01-27,25.68
2010-01-28,24.57
2010-01-29,24.89
2010-02-01,25.34
2010-02-02,24.77
2010-02-03,24.41
2010-02-04,23.37
2010-02-05,23.25
2010-02-08,23.39
2010-02-09,24.11
2010-02-10,24.12
2010-02-11,24.68
2010-02-12,24.82
2010-02-16,25.53
2010-02-17,25.81
2010-02-18,26.14
2010-02-19,25.94
2010-02-22,26.18
2010-02-23,25.07
2010-02-24,24.77
2010-02-25,24.75
2010-02-26,24.29
2010-03-01,24.59
2010-03-02,24.85
2010-03-03,25.48
2010-03-04,25.98
2010-03-05,26.59
2010-03-08,26.66
2010-03-09,28.24
2010-03-10,28.93
2010-03-11,29
2010-03-12,29.47
2010-03-15,29.44
2010-03-16,28.86
2010-03-17,29.96
2010-03-18,30.04
2010-03-19,30.04
2010-03-22,30.44
2010-03-23,31.49
2010-03-24,31.02
2010-03-25,30.7
2010-03-26,30.15
2010-03-29,30.21
2010-03-30,29.71
2010-03-31,28.96
2010-04-05,30.39
2010-04-06,29.58
2010-04-07,29.79
2010-04-08,30.08
2010-04-09,30.35
2010-04-12,30.69
2010-04-13,32.62
2010-04-14,32.8
2010-04-15,32.85
2010-04-16,31.98
2010-04-19,31.62
2010-04-20,35.31
2010-04-21,34.5
2010-04-22,36.34
2010-04-23,36.3
2010-04-26,36.09
2010-04-27,34.16
2010-04-28,34.17
2010-04-29,34.91
2010-04-30,33.12
2010-05-03,33.89
2010-05-04,32.54
2010-05-05,31.55
2010-05-06,30.83
2010-05-07,29.55
2010-05-10,31.65
2010-05-11,31.76
2010-05-12,32.95
2010-05-13,32.33
2010-05-14,30.64
2010-05-17,30.9
2010-05-18,29.96
2010-05-19,29.45
2010-05-20,27.95
2010-05-21,28.46
2010-05-24,28.5
2010-05-25,28.54
2010-05-26,28.39
2010-05-27,30.52
2010-05-28,29.87
2010-06-01,28.77
2010-06-02,29.65
2010-06-03,29.49
2010-06-04,27.78
2010-06-07,27.46
2010-06-08,27.46
2010-06-09,27.61
2010-06-10,28.55
2010-06-11,29.65
2010-06-14,29.99
2010-06-15,30.94
2010-06-16,30.57
2010-06-17,30.56
2010-06-18,30.46
2010-06-21,30.68
2010-06-22,29.87
2010-06-23,29.88
2010-06-24,29.41
2010-06-25,30.07
2010-06-28,29.32
2010-06-29,28.17
2010-06-30,27.73
2010-07-01,27.62
2010-07-02,27.26
2010-07-06,26.78
2010-07-07,27.86
2010-07-08,28.37
2010-07-09,28.73
2010-07-12,27.73
2010-07-13,28.97
2010-07-14,28.47
2010-07-15,27.8
2010-07-16,26.6
2010-07-19,26.61
2010-07-20,29.3
2010-07-21,30.48
2010-07-22,31.36
2010-07-23,31.32
2010-07-26,31.74
2010-07-27,30.91
2010-07-28,30.68
2010-07-29,30.91
2010-07-30,31.35
2010-08-02,31.81
2010-08-03,31.39
2010-08-04,31.2
2010-08-05,30.68
2010-08-06,30.48
2010-08-09,30.62
2010-08-10,30.03
2010-08-11,28.13
2010-08-12,27.64
2010-08-13,26.67
2010-08-16,26.98
2010-08-17,27.39
2010-08-18,27.52
2010-08-19,27.74
2010-08-20,27.85
2010-08-23,27.64
2010-08-24,26.23
2010-08-25,26.21
2010-08-26,25.85
2010-08-27,26.6
2010-08-30,25.7
2010-08-31,25.7
2010-09-01,26.79
2010-09-02,27.2
2010-09-03,27.23
2010-09-07,29.41
2010-09-08,28.98
2010-09-09,28.45
2010-09-10,28.42
2010-09-13,29.11
2010-09-14,28.85
2010-09-15,28.62
2010-09-16,28.07
2010-09-17,28.19
2010-09-20,28.4
2010-09-21,28.08
2010-09-22,27.5
2010-09-23,26.57
2010-09-24,28.2
2010-09-27,27.67
2010-09-28,27.76
2010-09-29,28.29
2010-09-30,28.53
2010-10-01,28.48
2010-10-04,27.68
2010-10-05,28.77
2010-10-06,28.77
2010-10-07,29.07
2010-10-08,29.99
2010-10-11,30.57
2010-10-12,30.09
2010-10-13,31.03
2010-10-14,30.59
2010-10-15,31
2010-10-18,31.5
2010-10-19,30.91
2010-10-20,31.42
2010-10-21,30.55
2010-10-22,29.82
2010-10-25,30.05
2010-10-26,29.94
2010-10-27,29.32
2010-10-28,28.96
2010-10-29,29.47
2010-11-01,29.53
2010-11-02,30.54
2010-11-03,29.66
2010-11-04,31.32
2010-11-05,31.94
2010-11-08,32.08
2010-11-09,31.55
2010-11-10,31.62
2010-11-11,31.29
2010-11-12,30.01
2010-11-15,30.05
2010-11-16,30.05
2010-11-17,30.17
2010-11-18,30.88
2010-11-19,32.08
2010-11-22,32.18
2010-11-23,31.39
2010-11-24,32.2
2010-11-26,31.76
2010-11-29,30.94
2010-11-30,29.95
2010-12-01,31.23
2010-12-02,31.25
2010-12-03,31.75
2010-12-06,32.01
2010-12-07,32.5
2010-12-08,32.43
2010-12-09,32.35
2010-12-10,32.78
2010-12-13,32.51
2010-12-14,32.48
2010-12-15,32.68
2010-12-16,32.47
2010-12-17,32.45
2010-12-20,32.18
2010-12-21,32.95
2010-12-22,32.89
