"Index","JLA.Close"
2011-06-16,-0.00499
2011-06-17,0.00582
2011-06-20,0.00248
2011-06-21,0.01396
2011-06-22,0.00163
2011-06-23,-0.00245
2011-06-24,-0.00491
2011-06-27,0.00491
2011-06-28,0.00813
2011-06-29,0.00646
2011-06-30,0.00961
2011-07-01,0.00635
2011-07-05,-0.00238
2011-07-06,-0.00238
2011-07-07,0.01265
2011-07-08,-0.0071
2011-07-11,-0.00715
2011-07-12,-0.00159
2011-07-13,0.00159
2011-07-14,-0.00639
2011-07-15,-8e-04
2011-07-18,-0.01049
2011-07-19,0.01129
2011-07-20,-0.00241
2011-07-21,0.00721
2011-07-22,-0.0024
2011-07-25,-0.00723
2011-07-26,-0.00081
2011-07-27,-0.01135
2011-07-28,-0.00245
2011-07-29,-0.00821
2011-08-01,0.00329
2011-08-02,-0.01074
2011-08-03,-0.00083
2011-08-04,-0.02867
2011-08-05,-0.01465
2011-08-08,-0.09081
2011-08-09,0.04189
2011-08-10,-0.011
2011-08-11,0.04064
2011-08-12,0.01231
2011-08-15,0.02076
2011-08-16,-0.0086
2011-08-17,0.00086
2011-08-18,-0.03602
2011-08-19,-0.01714
2011-08-22,0.00182
2011-08-23,0.03217
2011-08-24,0.01484
2011-08-25,-0.00608
2011-08-26,0.01041
2011-08-29,0.01711
2011-08-30,0
2011-08-31,0
2011-09-01,-0.00852
2011-09-02,-0.01987
2011-09-06,-0.00788
2011-09-07,0.02347
2011-09-08,-0.0121
2011-09-09,-0.01401
2011-09-12,0.0044
2011-09-13,-0.01772
2011-09-14,0.00978
2011-09-15,0.00881
2011-09-16,0
2011-09-19,-0.00881
2011-09-20,0.0053
2011-09-21,-0.01597
2011-09-22,-0.01441
2011-09-23,0.00181
2011-09-26,0.00812
2011-09-27,0.01427
2011-09-28,-0.01338
2011-09-29,0.00626
2011-09-30,-0.02073
2011-10-03,-0.02583
2011-10-04,-0.00468
2011-10-05,0.01584
2011-10-06,0.01922
2011-10-07,0.00181
2011-10-10,0.02414
2011-10-11,-0.0062
2011-10-12,0.00443
2011-10-13,0.00177
2011-10-14,0.01142
2011-10-17,-0.01585
2011-10-18,0.01933
2011-10-19,-0.00962
2011-10-20,0.00263
2011-10-21,0.00873
2011-10-24,0.00693
2011-10-25,-0.02092
2011-10-26,0.01487
2011-10-27,0.01636
2011-10-28,-0.00686
2011-10-31,-0.02173
2011-11-01,-0.00971
2011-11-02,0.00619
2011-11-03,0.01053
2011-11-04,-0.00175
2011-11-07,0.00523
2011-11-08,0.00693
2011-11-09,-0.02714
2011-11-10,0.00619
2011-11-11,0.0114
2011-11-14,-0.00612
2011-11-15,0.01221
2011-11-16,-0.00521
2011-11-17,-0.00612
2011-11-18,0.00263
2011-11-21,-0.01853
2011-11-22,0.00356
2011-11-23,-0.0143
