"Index","NVG.Close"
2007-09-17,14.1
2007-09-18,14.17
2007-09-19,14.25
2007-09-20,14.1
2007-09-21,14.01
2007-09-24,13.9
2007-09-25,13.79
2007-09-26,13.84
2007-09-27,13.87
2007-09-28,14
2007-10-01,13.95
2007-10-02,13.86
2007-10-03,13.78
2007-10-04,13.8
2007-10-05,13.72
2007-10-08,13.7
2007-10-09,13.7
2007-10-10,13.79
2007-10-11,13.75
2007-10-12,13.77
2007-10-15,13.81
2007-10-16,13.85
2007-10-17,13.87
2007-10-18,14
2007-10-19,13.95
2007-10-22,13.92
2007-10-23,13.87
2007-10-24,14.02
2007-10-25,14
2007-10-26,14
2007-10-29,13.95
2007-10-30,13.9
2007-10-31,13.71
2007-11-01,13.7
2007-11-02,13.43
2007-11-05,13.39
2007-11-06,13.35
2007-11-07,13.32
2007-11-08,13.29
2007-11-09,13.13
2007-11-12,13.28
2007-11-13,13.15
2007-11-14,13
2007-11-15,12.9
2007-11-16,13.04
2007-11-19,13.08
2007-11-20,13.15
2007-11-21,13.31
2007-11-23,13.33
2007-11-26,13.31
2007-11-27,13.26
2007-11-28,13.4
2007-11-29,13.38
2007-11-30,13.39
2007-12-03,13.44
2007-12-04,13.43
2007-12-05,13.47
2007-12-06,13.44
2007-12-07,13.44
2007-12-10,13.36
2007-12-11,13.4
2007-12-12,13.3
2007-12-13,13.17
2007-12-14,13.17
2007-12-17,13.14
2007-12-18,13.21
2007-12-19,13.14
2007-12-20,13.05
2007-12-21,13
2007-12-24,13.12
2007-12-26,13.17
2007-12-27,13.21
2007-12-28,13.35
2007-12-31,13.5
2008-01-02,13.6
2008-01-03,13.76
2008-01-04,13.89
2008-01-07,13.85
2008-01-08,13.87
2008-01-09,13.95
2008-01-10,13.89
2008-01-11,13.92
2008-01-14,14.02
2008-01-15,14.13
2008-01-16,14.02
2008-01-17,13.93
2008-01-18,13.74
2008-01-22,13.79
2008-01-23,13.98
2008-01-24,14.05
2008-01-25,13.95
2008-01-28,13.93
2008-01-29,14
2008-01-30,13.96
2008-01-31,13.91
2008-02-01,13.92
2008-02-04,13.95
2008-02-05,14.1
2008-02-06,14.01
2008-02-07,14.02
2008-02-08,14.08
2008-02-11,14.1
2008-02-12,14.25
2008-02-13,13.86
2008-02-14,13.32
2008-02-15,13.34
2008-02-19,13.62
2008-02-20,13.51
2008-02-21,13.32
2008-02-22,13.38
2008-02-25,13.5
2008-02-26,13.52
2008-02-27,13.49
2008-02-28,13.23
2008-02-29,13.1
2008-03-03,13.29
2008-03-04,13.37
2008-03-05,13.48
2008-03-06,13.37
2008-03-07,13.43
2008-03-10,13.35
2008-03-11,13.23
2008-03-12,13.1
2008-03-13,13.14
2008-03-14,13.04
2008-03-17,12.82
2008-03-18,13
2008-03-19,13.04
2008-03-20,13
2008-03-24,13.14
2008-03-25,13.17
2008-03-26,13.25
2008-03-27,13.24
2008-03-28,13.3
2008-03-31,13.3
2008-04-01,13.4
2008-04-02,13.31
2008-04-03,13.3
2008-04-04,13.27
2008-04-07,13.33
2008-04-08,13.35
2008-04-09,13.41
2008-04-10,13.57
2008-04-11,13.55
2008-04-14,13.53
2008-04-15,13.46
2008-04-16,13.55
2008-04-17,13.49
2008-04-18,13.62
2008-04-21,13.55
2008-04-22,13.53
2008-04-23,13.63
2008-04-24,13.49
2008-04-25,13.4
2008-04-28,13.39
2008-04-29,13.36
2008-04-30,13.47
2008-05-01,13.48
2008-05-02,13.56
2008-05-05,13.55
2008-05-06,13.54
2008-05-07,13.53
2008-05-08,13.57
2008-05-09,13.64
2008-05-12,13.6
2008-05-13,13.46
2008-05-14,13.46
2008-05-15,13.59
2008-05-16,13.52
2008-05-19,13.62
2008-05-20,13.55
2008-05-21,13.63
2008-05-22,13.5
2008-05-23,13.47
2008-05-27,13.44
2008-05-28,13.59
2008-05-29,13.59
2008-05-30,13.62
2008-06-02,13.62
2008-06-03,13.66
2008-06-04,13.6
2008-06-05,13.59
2008-06-06,13.54
2008-06-09,13.54
2008-06-10,13.43
2008-06-11,13.23
2008-06-12,13.16
2008-06-13,13.11
2008-06-16,13.11
2008-06-17,13.12
2008-06-18,13.04
2008-06-19,13.03
2008-06-20,12.94
2008-06-23,12.74
2008-06-24,12.88
2008-06-25,12.84
2008-06-26,12.92
2008-06-27,12.94
2008-06-30,12.94
2008-07-01,12.92
2008-07-02,12.98
2008-07-03,12.91
2008-07-07,12.85
2008-07-08,12.89
2008-07-09,12.91
2008-07-10,12.94
2008-07-11,12.84
2008-07-14,12.72
2008-07-15,12.64
2008-07-16,12.77
2008-07-17,12.88
2008-07-18,12.78
2008-07-21,12.73
2008-07-22,12.75
2008-07-23,12.68
2008-07-24,12.67
2008-07-25,12.68
2008-07-28,12.72
2008-07-29,12.69
2008-07-30,12.63
2008-07-31,12.68
2008-08-01,12.67
2008-08-04,12.66
2008-08-05,12.6
2008-08-06,12.57
