"Index","NUVI.Close"
2014-07-11,NA
2014-07-14,NA
2014-07-15,Inf
2014-07-17,0
2014-07-30,-Inf
2014-08-04,Inf
2014-08-05,0
2014-08-06,-Inf
2014-08-07,Inf
2014-08-08,0
2014-08-11,0
2014-08-12,0
2014-08-18,0
2014-08-21,0
2014-08-22,0
2014-08-25,-Inf
2014-08-26,NA
2014-09-02,NA
2014-09-05,NA
2014-09-10,Inf
2014-09-11,0
2014-09-25,0
2014-09-30,-Inf
2014-10-01,Inf
2014-10-02,0
2014-10-03,0
2014-10-06,0
2014-10-08,0
2014-10-09,-Inf
2014-10-14,NA
2014-10-16,NA
2014-10-17,NA
2014-10-21,NA
2014-10-22,NA
2014-10-27,NA
2014-10-30,NA
2014-10-31,NA
2014-11-04,NA
2014-11-05,NA
2014-11-17,NA
2014-11-18,NA
2014-11-20,NA
2014-11-25,NA
2014-11-26,NA
2014-12-03,NA
2014-12-04,NA
2014-12-08,NA
2014-12-09,NA
2014-12-10,NA
2014-12-11,NA
2014-12-15,NA
2014-12-16,NA
2014-12-19,NA
2014-12-22,NA
2014-12-23,NA
2014-12-26,NA
2014-12-29,NA
2014-12-30,NA
2014-12-31,NA
2015-01-02,NA
2015-01-05,NA
2015-01-06,NA
2015-01-07,NA
2015-01-09,NA
2015-01-13,NA
2015-01-14,NA
2015-01-15,NA
