"Index","VIV.Close"
2010-07-09,0.00515
2010-07-12,-0.01315
2010-07-13,0.0066
2010-07-14,0.00422
2010-07-15,0.00513
2010-07-16,-0.01406
2010-07-19,0.00236
2010-07-20,0.01773
2010-07-21,-0.01304
2010-07-22,0.01257
2010-07-23,-0.00371
2010-07-26,0.00648
2010-07-27,-0.02429
2010-07-28,0.01874
2010-07-29,-0.00698
2010-07-30,0.00606
2010-08-02,-0.00139
2010-08-03,0.00557
2010-08-04,0.02647
2010-08-05,0.00584
2010-08-06,-0.00179
2010-08-09,-0.02498
2010-08-10,-0.02468
2010-08-11,-0.0109
2010-08-12,0.00095
2010-08-13,0.00853
2010-08-16,0.0136
2010-08-17,0.00418
2010-08-18,0.00417
2010-08-19,0.00507
2010-08-20,0.0096
2010-08-23,-0.0119
2010-08-24,0.01418
2010-08-25,0.01666
2010-08-26,-0.0203
2010-08-27,0.03845
2010-08-30,-0.02217
2010-08-31,0.0213
2010-09-01,0.03027
2010-09-02,0.0051
2010-09-03,-0.01494
2010-09-07,-0.01517
2010-09-08,0.04608
2010-09-09,-0.01386
2010-09-10,0.01511
2010-09-13,-0.00208
2010-09-14,0.00167
2010-09-15,-0.00543
2010-09-16,0.00585
2010-09-17,0
2010-09-20,0.00953
2010-09-21,-0.00083
2010-09-22,-0.00165
2010-09-23,-0.00041
2010-09-24,0.00783
2010-09-27,0.00899
2010-09-28,-0.01228
2010-09-29,0.00206
2010-09-30,0.0041
2010-10-01,0.00693
2010-10-04,-0.02469
2010-10-05,0.02184
2010-10-06,0.00407
2010-10-07,0.00122
2010-10-08,0.01808
2010-10-11,0.00358
2010-10-12,0.00159
2010-10-13,0.00435
2010-10-14,-0.01031
2010-10-15,-0.01163
2010-10-18,-0.00364
2010-10-19,-0.02044
2010-10-20,0.01598
2010-10-21,-0.01186
2010-10-22,-0.01242
2010-10-25,0.00416
2010-10-26,0.00949
2010-10-27,0.01347
2010-10-28,-0.01758
2010-10-29,0.01067
2010-11-01,0.0178
2010-11-02,0.00997
2010-11-03,-0.01924
2010-11-04,0.01964
2010-11-05,-0.00917
2010-11-08,-0.00603
2010-11-09,0.00081
2010-11-10,0.00402
2010-11-11,-0.00805
2010-11-12,-0.0073
2010-11-15,0.00851
2010-11-16,-0.02287
2010-11-17,0.00946
2010-11-18,-0.00328
2010-11-19,0.00123
2010-11-22,-0.01695
2010-11-23,-0.02877
2010-11-24,0.01744
2010-11-26,0.01091
2010-11-29,-0.00754
2010-11-30,0.00042
2010-12-01,0.0067
2010-12-02,-0.00042
2010-12-03,0.00042
2010-12-06,-0.01726
2010-12-07,-0.00853
2010-12-08,-0.00688
2010-12-09,-0.00997
2010-12-10,0.00131
2010-12-13,0.01254
2010-12-14,0.0077
2010-12-15,-0.00599
2010-12-16,-0.01165
2010-12-17,-0.00828
2010-12-20,-0.00702
2010-12-21,0.02006
2010-12-22,0.015
2010-12-23,0.00212
2010-12-27,0.02017
2010-12-28,0.02018
2010-12-29,-0.00819
2010-12-30,0.00451
2010-12-31,0.00123
2011-01-03,-0.00082
2011-01-04,0.00896
2011-01-05,-0.00528
2011-01-06,-0.00163
2011-01-07,-0.00943
2011-01-10,0.01269
2011-01-11,0.0081
2011-01-12,0.01482
2011-01-13,0.00753
2011-01-14,-0.00713
2011-01-18,-0.00838
2011-01-19,-0.00967
2011-01-20,-0.01058
2011-01-21,0.00936
2011-01-24,0.01368
2011-01-25,8e-04
2011-01-26,0.00993
2011-01-27,-0.00674
2011-01-28,-0.02173
2011-01-31,-0.01022
2011-02-01,-0.00329
2011-02-02,-0.00248
2011-02-03,-0.00083
2011-02-04,-0.02302
2011-02-07,0.00801
2011-02-08,0.01252
2011-02-09,-0.02138
2011-02-10,-0.00127
2011-02-11,0.00085
2011-02-14,-0.01667
2011-02-15,0.00043
2011-02-16,0.0251
2011-02-17,0.01584
2011-02-18,-0.0029
2011-02-22,0.00207
2011-02-23,-0.00998
2011-02-24,0.0075
2011-02-25,0.00497
2011-02-28,0.00453
2011-03-01,-0.00123
2011-03-02,0.00697
2011-03-03,0.0282
2011-03-04,-4e-04
2011-03-07,-0.00279
2011-03-08,-0.00199
2011-03-09,0.00319
2011-03-10,-8e-04
2011-03-11,0.00398
2011-03-14,0.00238
2011-03-15,-0.00875
2011-03-16,-0.01044
2011-03-17,-0.00242
2011-03-18,0.01126
2011-03-21,-0.073
2011-03-22,0.00814
2011-03-23,0.00171
2011-03-24,0.00806
2011-03-25,0.03611
2011-03-28,-0.06136
2011-03-29,0.02314
2011-03-30,0.00042
2011-03-31,0.04187
2011-04-01,0.01491
2011-04-04,0.01627
2011-04-05,0.02832
2011-04-06,-0.01426
2011-04-07,0.02188
2011-04-08,-0.008
2011-04-11,0.01368
2011-04-12,0.00865
2011-04-13,0.00037
2011-04-14,0.01338
2011-04-15,0.00589
2011-04-18,0.01167
2011-04-19,0.00867
2011-04-20,-0.00649
2011-04-21,0.01008
2011-04-25,-0.0232
2011-04-26,0.01311
2011-04-27,-0.00982
2011-04-28,0.00438
2011-04-29,-0.01356
2011-05-02,-0.00259
2011-05-03,-0.00593
2011-05-04,-0.02562
2011-05-05,-0.02551
2011-05-06,0.03198
2011-05-09,0.00906
2011-05-10,0
2011-05-11,-0.00679
2011-05-12,0.01874
2011-05-13,-0.01988
2011-05-16,0.00604
2011-05-17,0.00675
2011-05-18,0.01005
2011-05-19,0.01579
2011-05-20,-0.00512
2011-05-23,-0.00441
2011-05-24,0.01787
2011-05-25,0.02251
2011-05-26,0.00634
2011-05-27,0.01499
2011-05-31,0.01135
2011-06-01,-0.01204
2011-06-02,0.05095
2011-06-03,-0.01091
2011-06-06,-0.01609
2011-06-07,0.00371
2011-06-08,-0.0071
2011-06-09,-0.02402
2011-06-10,0.00069
2011-06-13,-0.01433
2011-06-14,-0.01561
2011-06-15,0.01561
2011-06-16,-0.01276
2011-06-17,0.0117
2011-06-20,0.00422
2011-06-21,0.01082
2011-06-22,-0.02283
2011-06-23,0.00955
2011-06-24,0.00806
2011-06-27,0.01867
2011-06-28,0.00308
2011-06-29,-0.01584
2011-06-30,0.03008
2011-07-01,0.01437
2011-07-05,-0.02793
2011-07-06,0.00136
2011-07-07,-0.00925
2011-07-08,-0.00933
2011-07-11,0
2011-07-12,-0.01469
2011-07-13,0.01295
2011-07-14,-0.00803
2011-07-15,0.01012
2011-07-18,0.01173
2011-07-19,0.02272
2011-07-20,-0.00437
2011-07-21,0.02001
2011-07-22,-0.0244
2011-07-25,0.01478
2011-07-26,0.0344
2011-07-27,-0.00161
2011-07-28,0.01091
2011-07-29,0.01205
2011-08-01,-0.00095
2011-08-02,-0.02622
2011-08-03,-0.00683
2011-08-04,-0.03148
2011-08-05,0.00235
2011-08-08,-0.10544
