"Index","ADES.Close"
2014-04-10,23.06
2014-04-11,23.01
2014-04-14,23.03
2014-04-15,22.93
2014-04-16,23.09
2014-04-17,22.96
2014-04-21,23.02
2014-04-22,24.28
2014-04-23,23.85
2014-04-24,22.94
2014-04-25,22.66
2014-04-28,22.73
2014-04-29,22.55
2014-04-30,22.93
2014-05-01,22.41
2014-05-02,21.89
2014-05-05,21.47
2014-05-06,21.08
2014-05-07,21.26
2014-05-08,20.62
2014-05-09,20.03
2014-05-12,20.01
2014-05-13,19.47
2014-05-14,18.7
2014-05-15,18.1
2014-05-16,18.17
2014-05-19,19.2
2014-05-20,18.83
2014-05-21,19.28
2014-05-22,20.13
2014-05-23,22.2
2014-05-27,22.82
2014-05-28,22.71
2014-05-29,22.85
2014-05-30,23.41
2014-06-02,22.7
2014-06-03,22.51
2014-06-04,22.17
2014-06-05,22.32
2014-06-06,22.25
2014-06-09,22.59
2014-06-10,22.27
2014-06-11,22.24
2014-06-12,21.77
2014-06-13,21.73
2014-06-16,21.98
2014-06-17,22.62
2014-06-18,22.8
2014-06-19,22.95
2014-06-20,23.22
2014-06-23,23.04
2014-06-24,22.4
2014-06-25,22.49
2014-06-26,22.12
2014-06-27,23.01
2014-06-30,22.93
2014-07-01,23.81
2014-07-02,23.87
2014-07-03,23.9
2014-07-07,23
2014-07-08,23
2014-07-09,22.81
2014-07-10,22.65
2014-07-11,22.42
2014-07-14,23.05
2014-07-15,22.54
2014-07-16,22.12
2014-07-17,21.43
2014-07-18,21.26
2014-07-21,20.75
2014-07-22,21.02
2014-07-23,20.85
2014-07-24,20.02
2014-07-25,19.33
2014-07-28,19.76
2014-07-29,19.9
2014-07-30,21.13
2014-07-31,21.39
2014-08-01,21.75
2014-08-04,21.72
2014-08-05,21.65
2014-08-06,21.62
2014-08-07,21.88
2014-08-08,21.85
2014-08-11,22.56
2014-08-12,22.62
2014-08-13,22.93
2014-08-14,22.9
2014-08-15,23.01
2014-08-18,23
2014-08-19,22.79
2014-08-20,22.65
2014-08-21,21
2014-08-22,21.45
2014-08-25,21.06
2014-08-26,20.53
2014-08-27,20.45
2014-08-28,20.55
2014-08-29,21.79
2014-09-02,22.3
2014-09-03,22.25
2014-09-04,22.31
2014-09-05,22.08
2014-09-08,22
2014-09-09,21.36
2014-09-10,20.92
2014-09-11,22.68
2014-09-12,22.65
2014-09-15,22.43
2014-09-16,21.56
2014-09-17,21.12
2014-09-18,21.09
2014-09-19,20.93
2014-09-22,21.06
2014-09-23,20.34
2014-09-24,20.46
2014-09-25,20.05
2014-09-26,21.41
2014-09-29,21.09
2014-09-30,21.27
2014-10-01,21.1
2014-10-02,20.97
2014-10-03,20.62
2014-10-06,20.14
2014-10-07,20.37
2014-10-08,20.93
2014-10-09,20.51
2014-10-10,19.85
2014-10-13,20.1
2014-10-14,19.76
2014-10-15,19.93
2014-10-16,19.89
2014-10-17,19.75
2014-10-20,19.53
2014-10-21,20.2
2014-10-22,19.64
2014-10-23,19.67
2014-10-24,19.62
2014-10-27,19.24
2014-10-28,19.74
2014-10-29,19.78
2014-10-30,19.87
2014-10-31,20.22
2014-11-03,20.3
2014-11-04,19.83
2014-11-05,20.07
2014-11-06,20.35
2014-11-07,20.37
2014-11-10,20.58
2014-11-11,21.27
2014-11-12,21.5
2014-11-13,20.55
2014-11-14,20.18
2014-11-17,19.82
2014-11-18,20.45
2014-11-19,19.85
2014-11-20,20.69
2014-11-21,20.58
2014-11-24,21.42
2014-11-25,21.94
2014-11-26,21.13
2014-11-28,20
2014-12-01,19.78
2014-12-02,20.7
2014-12-03,21
2014-12-04,20.9
2014-12-05,21.78
2014-12-08,21.16
2014-12-09,22.28
2014-12-10,21.4
2014-12-11,21.21
2014-12-12,20.38
2014-12-15,19.73
2014-12-16,19.56
2014-12-17,19.95
2014-12-18,20
2014-12-19,20
2014-12-22,19.98
2014-12-23,20.62
2014-12-24,20.77
2014-12-26,21.57
2014-12-29,22.13
2014-12-30,23.03
2014-12-31,22.79
2015-01-02,21.86
2015-01-05,21.4
2015-01-06,20.53
2015-01-07,20.91
2015-01-08,21.44
2015-01-09,21.34
2015-01-12,20.7
2015-01-13,20.07
