"Index","FLEX.Close"
2009-01-21,2.8
2009-01-22,2.63
2009-01-23,2.56
2009-01-26,2.63
2009-01-27,2.62
2009-01-28,2.72
2009-01-29,2.67
2009-01-30,2.61
2009-02-02,2.71
2009-02-03,2.72
2009-02-04,2.91
2009-02-05,2.89
2009-02-06,2.91
2009-02-09,2.78
2009-02-10,2.71
2009-02-11,2.62
2009-02-12,2.73
2009-02-13,2.75
2009-02-17,2.5
2009-02-18,2.48
2009-02-19,2.28
2009-02-20,2.48
2009-02-23,2.22
2009-02-24,2.44
2009-02-25,2.26
2009-02-26,2.12
2009-02-27,2.06
2009-03-02,1.94
2009-03-03,2.09
2009-03-04,2.33
2009-03-05,2.14
2009-03-06,1.94
2009-03-09,1.86
2009-03-10,2.21
2009-03-11,2.24
2009-03-12,2.43
2009-03-13,2.54
2009-03-16,2.5
2009-03-17,2.64
2009-03-18,2.64
2009-03-19,2.55
2009-03-20,2.36
2009-03-23,2.65
2009-03-24,2.55
2009-03-25,2.5
2009-03-26,3.02
2009-03-27,2.93
2009-03-30,2.75
2009-03-31,2.89
2009-04-01,2.94
2009-04-02,3.27
2009-04-03,3.33
2009-04-06,3.18
2009-04-07,3.02
2009-04-08,3.08
2009-04-09,3.57
2009-04-13,3.45
2009-04-14,3.39
2009-04-15,3.55
2009-04-16,3.81
2009-04-17,4.1
2009-04-20,3.57
2009-04-21,3.74
2009-04-22,3.84
2009-04-23,3.78
2009-04-24,3.85
2009-04-27,3.73
2009-04-28,3.7
2009-04-29,3.89
2009-04-30,3.88
2009-05-01,3.97
2009-05-04,4.2
2009-05-05,4.11
2009-05-06,4.23
2009-05-07,3.98
2009-05-08,3.93
2009-05-11,3.77
2009-05-12,3.5
2009-05-13,3.19
2009-05-14,3.5
2009-05-15,3.5
2009-05-18,3.69
2009-05-19,3.74
2009-05-20,3.59
2009-05-21,3.35
2009-05-22,3.3
2009-05-26,3.7
2009-05-27,3.51
2009-05-28,3.65
2009-05-29,3.96
2009-06-01,4.23
2009-06-02,4.15
2009-06-03,3.98
2009-06-04,4.15
2009-06-05,4.1
2009-06-08,4.13
2009-06-09,4.21
2009-06-10,4.27
2009-06-11,4.62
2009-06-12,4.4
2009-06-15,4.2
2009-06-16,4.14
2009-06-17,4.1
2009-06-18,4.24
2009-06-19,4.35
2009-06-22,3.97
2009-06-23,4.03
2009-06-24,4.07
2009-06-25,4.22
2009-06-26,4.21
2009-06-29,4.09
2009-06-30,4.15
2009-07-01,4.32
2009-07-02,4.11
2009-07-06,4.16
2009-07-07,4.11
2009-07-08,4.04
2009-07-09,4.13
2009-07-10,4.08
2009-07-13,4.34
2009-07-14,4.57
2009-07-15,4.91
2009-07-16,4.81
2009-07-17,4.9
2009-07-20,4.95
2009-07-21,4.94
2009-07-22,5.18
2009-07-23,5.53
2009-07-24,5.52
2009-07-27,5.35
2009-07-28,5.37
2009-07-29,5.13
2009-07-30,5.02
2009-07-31,5.32
2009-08-03,5.54
2009-08-04,5.41
2009-08-05,5.42
2009-08-06,5.3
2009-08-07,5.58
2009-08-10,5.75
2009-08-11,5.57
2009-08-12,5.84
2009-08-13,5.71
2009-08-14,5.6
2009-08-17,5.23
