"Index","AMOT.Close"
2009-01-13,2.35
2009-01-14,2.28
2009-01-15,2.17
2009-01-16,2.07
2009-01-20,1.89
2009-01-21,1.89
2009-01-22,1.93
2009-01-23,1.85
2009-01-26,1.77
2009-01-27,1.84
2009-01-28,1.91
2009-01-29,1.86
2009-01-30,2.01
2009-02-02,1.9
2009-02-03,2.03
2009-02-04,1.96
2009-02-05,1.95
2009-02-06,1.95
2009-02-09,1.95
2009-02-10,1.9
2009-02-11,1.95
2009-02-12,1.81
2009-02-13,1.81
2009-02-17,1.78
2009-02-18,1.77
2009-02-19,1.77
2009-02-20,1.75
2009-02-23,1.75
2009-02-24,1.76
2009-02-25,1.75
2009-02-26,1.75
2009-02-27,1.77
2009-03-02,1.71
2009-03-03,1.35
2009-03-04,1.33
2009-03-05,1.34
2009-03-06,1.29
2009-03-09,1.17
2009-03-10,1.26
2009-03-11,1.47
2009-03-12,1.49
2009-03-13,1.36
2009-03-16,1.3
2009-03-17,1.27
2009-03-18,1.3
2009-03-19,1.43
2009-03-20,1.34
2009-03-23,1.41
2009-03-24,1.32
2009-03-25,1.41
2009-03-26,1.4
2009-03-27,1.44
2009-03-30,1.46
2009-03-31,1.58
2009-04-01,1.66
2009-04-02,1.54
2009-04-03,1.6
2009-04-06,1.61
2009-04-07,1.54
2009-04-08,1.55
2009-04-09,1.6
2009-04-13,1.7
2009-04-14,1.59
2009-04-15,1.59
2009-04-16,1.65
2009-04-17,1.73
2009-04-20,1.68
2009-04-21,1.66
2009-04-22,1.85
2009-04-23,1.9
2009-04-24,2.17
2009-04-27,2.39
2009-04-28,2.36
2009-04-29,2.24
2009-04-30,2.35
2009-05-01,2.5
2009-05-04,2.5
2009-05-05,2.5
2009-05-06,2.51
2009-05-07,2.52
2009-05-08,2.58
2009-05-11,2.53
2009-05-12,2.48
2009-05-13,2.1
2009-05-14,2.28
2009-05-15,2.14
2009-05-18,2
2009-05-19,1.98
2009-05-20,1.93
2009-05-21,1.96
2009-05-22,1.82
2009-05-26,1.78
2009-05-27,1.88
2009-05-28,1.88
2009-05-29,1.82
2009-06-01,1.86
2009-06-02,1.95
2009-06-03,1.83
2009-06-04,1.9
2009-06-05,1.94
2009-06-08,1.94
2009-06-09,1.98
2009-06-10,2.18
2009-06-11,2.14
2009-06-12,2.09
2009-06-15,2.2
2009-06-16,2.2
2009-06-17,2.19
2009-06-18,2.09
2009-06-19,2.08
2009-06-22,2.1
2009-06-23,1.98
2009-06-24,2
2009-06-25,2.23
2009-06-26,2.05
2009-06-29,1.96
2009-06-30,1.99
2009-07-01,1.96
2009-07-02,1.95
2009-07-06,2.09
2009-07-07,2
2009-07-08,2
2009-07-09,2.05
2009-07-10,2.04
2009-07-13,2.04
2009-07-14,1.95
2009-07-15,1.95
2009-07-16,1.87
2009-07-17,1.78
2009-07-20,2
2009-07-21,2
2009-07-22,1.92
2009-07-23,2
2009-07-24,2
2009-07-27,2.05
2009-07-28,1.93
2009-07-29,1.81
2009-07-30,1.96
2009-07-31,2.07
2009-08-03,2.07
2009-08-04,1.8
2009-08-05,2.06
2009-08-06,2.02
2009-08-07,1.9
2009-08-10,2.05
2009-08-11,1.95
2009-08-12,2.04
2009-08-13,2.04
2009-08-14,1.92
2009-08-17,1.92
2009-08-18,1.91
2009-08-19,1.93
2009-08-20,1.91
2009-08-21,1.98
2009-08-24,1.9
2009-08-25,1.9
2009-08-26,2.01
2009-08-27,2.02
2009-08-28,1.91
2009-08-31,2.01
2009-09-01,1.93
2009-09-02,2
2009-09-03,1.9
2009-09-04,1.9
2009-09-08,1.95
2009-09-09,2.03
2009-09-10,2.03
2009-09-11,2.09
2009-09-14,2.28
2009-09-15,2.29
2009-09-16,2.42
2009-09-17,2.5
2009-09-18,2.25
2009-09-21,2.35
2009-09-22,2.45
2009-09-23,2.5
2009-09-24,2.21
2009-09-25,2.33
2009-09-28,2.45
2009-09-29,2.45
2009-09-30,2.48
2009-10-01,2.39
2009-10-02,2.45
2009-10-05,2.4
2009-10-06,2.48
2009-10-07,2.4
2009-10-08,2.49
2009-10-09,2.5
2009-10-12,2.55
2009-10-13,2.5
2009-10-14,2.5
2009-10-15,2.43
2009-10-16,2.36
2009-10-19,2.42
2009-10-20,2.44
2009-10-21,2.39
2009-10-22,2.3
2009-10-23,2.33
2009-10-26,2.35
2009-10-27,2.26
2009-10-28,2.25
2009-10-29,2.3
2009-10-30,2.25
2009-11-02,2.25
2009-11-03,2.18
2009-11-04,2.3
2009-11-05,2.5
2009-11-06,2.39
2009-11-09,2.35
2009-11-10,2.37
2009-11-11,2.3
2009-11-12,2.35
2009-11-13,2.39
2009-11-16,2.35
2009-11-17,2.4
2009-11-18,2.49
2009-11-19,2.48
2009-11-20,2.34
2009-11-23,2.38
2009-11-24,2.35
2009-11-25,2.26
2009-11-27,2.26
2009-11-30,2.25
2009-12-01,2.24
2009-12-02,2.33
2009-12-03,2.31
2009-12-04,2.29
2009-12-07,2.35
2009-12-08,2.26
2009-12-09,2.26
2009-12-10,2.54
2009-12-11,2.52
2009-12-14,2.68
2009-12-15,2.5
2009-12-16,2.47
2009-12-17,2.54
2009-12-18,2.84
2009-12-21,2.84
2009-12-22,2.77
2009-12-23,2.65
2009-12-24,2.65
2009-12-28,2.43
2009-12-29,2.45
2009-12-30,2.49
2009-12-31,2.5
2010-01-04,2.52
2010-01-05,2.6
2010-01-06,2.76
2010-01-07,2.75
2010-01-08,2.74
2010-01-11,2.7
2010-01-12,2.75
2010-01-13,2.72
2010-01-14,2.73
2010-01-15,2.73
2010-01-19,2.61
2010-01-20,2.63
2010-01-21,2.61
2010-01-22,2.67
2010-01-25,2.65
2010-01-26,2.65
