"Index","FIO.Close"
2012-03-01,0.08426
2012-03-02,0.08237
2012-03-05,-0.03889
2012-03-06,-0.03011
2012-03-07,0.03525
2012-03-08,0.01496
2012-03-09,-0.0019
2012-03-12,-0.01082
2012-03-13,0.0315
2012-03-14,-0.00622
2012-03-15,-0.03557
2012-03-16,-0.00259
2012-03-19,-0.02295
2012-03-20,-0.02519
2012-03-21,0.0172
2012-03-22,-0.02883
2012-03-23,0.03682
2012-03-26,-0.02078
2012-03-27,-0.01501
2012-03-28,-0.00034
2012-03-29,0.00034
2012-03-30,-0.02365
2012-04-02,0.02537
2012-04-03,-0.03528
2012-04-04,-0.0518
2012-04-05,-0.00225
2012-04-09,-0.04568
2012-04-10,-0.03436
2012-04-11,0.00244
2012-04-12,0.13803
2012-04-13,-0.03377
2012-04-16,-0.03268
2012-04-17,0.04575
2012-04-18,0.00898
2012-04-19,-0.01114
2012-04-20,-0.02045
2012-04-23,-0.03414
2012-04-24,0.03929
2012-04-25,0.02929
2012-04-26,0.03226
2012-04-27,-0.0506
2012-04-30,-0.07146
2012-05-01,-0.04017
2012-05-02,-0.03805
2012-05-03,-0.02087
2012-05-04,-0.01213
2012-05-07,-0.04592
2012-05-08,-0.03246
2012-05-09,-0.00425
2012-05-10,-0.0254
2012-05-11,0.03857
2012-05-14,0.03893
2012-05-15,-0.05068
2012-05-16,-0.0162
2012-05-17,-0.05936
2012-05-18,0.00508
2012-05-21,0.02306
2012-05-22,-0.01699
2012-05-23,0.02734
2012-05-24,0.0083
2012-05-25,-0.03162
2012-05-29,0.05707
2012-05-30,-0.04758
2012-05-31,0.03757
2012-06-01,-0.06479
2012-06-04,-0.03378
2012-06-05,-0.00583
2012-06-06,0.01687
2012-06-07,-0.03891
2012-06-08,0.03734
2012-06-11,-0.08122
2012-06-12,0.05416
2012-06-13,-0.01354
2012-06-14,0.01944
2012-06-15,0.02482
2012-06-18,0.08449
2012-06-19,0.01899
2012-06-20,-0.00566
2012-06-21,-0.02007
2012-06-22,0.01437
2012-06-25,0.00143
2012-06-26,-0.00619
2012-06-27,-0.00623
2012-06-28,-0.01112
2012-06-29,0.01592
2012-07-02,-0.00048
2012-07-03,0.01992
2012-07-05,0.03506
2012-07-06,-0.05402
2012-07-09,-0.04102
2012-07-10,-0.03037
2012-07-11,-0.01867
2012-07-12,-0.0303
2012-07-13,-0.00758
2012-07-16,0.00596
2012-07-17,-0.01306
2012-07-18,0.03815
2012-07-19,0.06776
2012-07-20,-0.04021
2012-07-23,-0.03549
2012-07-24,-0.0379
2012-07-25,0.01751
2012-07-26,0.01347
2012-07-27,0.04907
2012-07-30,-0.01179
2012-07-31,-0.01454
2012-08-01,-0.04822
2012-08-02,-0.00165
2012-08-03,0.06903
2012-08-06,0.05636
2012-08-07,0.04921
2012-08-08,-0.00928
2012-08-09,-0.02072
2012-08-10,0.24516
2012-08-13,-0.00112
2012-08-14,-0.01691
2012-08-15,-0.00456
2012-08-16,0.07234
2012-08-17,0.0053
2012-08-20,0.01954
2012-08-21,0.00963
2012-08-22,0.00308
2012-08-23,-0.01098
2012-08-24,0.00447
2012-08-27,-0.00069
2012-08-28,0.0123
2012-08-29,-0.01058
2012-08-30,-0.04347
2012-08-31,0.00393
2012-09-04,0.02746
2012-09-05,-0.04075
2012-09-06,0.02288
2012-09-07,0.00704
2012-09-10,-0.01485
2012-09-11,0.00533
2012-09-12,0.01373
2012-09-13,0.03402
2012-09-14,0.01841
2012-09-17,-0.03339
2012-09-18,0.0099
2012-09-19,0.04644
2012-09-20,-0.01075
2012-09-21,-0.01419
2012-09-24,0.00066
2012-09-25,-0.02148
2012-09-26,-0.0092
2012-09-27,0.03863
2012-09-28,-0.00264
2012-10-01,-0.0063
2012-10-02,0.01354
2012-10-03,0.00033
2012-10-04,0.03353
2012-10-05,0.01542
2012-10-08,-0.02178
2012-10-09,-0.01933
2012-10-10,-0.01971
2012-10-11,-0.009
2012-10-12,0.00067
2012-10-15,-0.03299
2012-10-16,0.04628
2012-10-17,-0.03596
2012-10-18,-0.05054
2012-10-19,-0.00831
2012-10-22,0.01191
2012-10-23,0.01318
2012-10-24,-0.03421
2012-10-25,-0.08561
2012-10-26,-0.04614
2012-10-31,-0.01389
2012-11-01,0.04394
2012-11-02,-0.02297
2012-11-05,0.02297
2012-11-06,0.01329
2012-11-07,-0.09128
2012-11-08,0.00612
2012-11-09,-0.04637
2012-11-12,-0.01564
2012-11-13,0.02744
2012-11-14,-0.01821
2012-11-15,-0.00184
2012-11-16,0.01462
2012-11-19,0.02685
2012-11-20,0.01533
2012-11-21,0.04713
2012-11-23,0.00703
2012-11-26,0.02842
2012-11-27,-0.05471
2012-11-28,-0.02007
2012-11-29,0.02387
2012-11-30,-0.01742
2012-12-03,-0.003
2012-12-04,-0.02349
2012-12-05,-0.01285
2012-12-06,0.00976
2012-12-07,0.00397
2012-12-10,-0.03764
2012-12-11,0.05335
2012-12-12,0.01248
2012-12-13,0.00639
2012-12-14,-0.01844
2012-12-17,0.01801
2012-12-18,0.02311
2012-12-19,0
2012-12-20,-0.03293
2012-12-21,-0.0385
2012-12-24,-0.00357
2012-12-26,0.0058
2012-12-27,-0.01525
2012-12-28,-0.00408
2012-12-31,0.03959
2013-01-02,0.02626
2013-01-03,-0.06403
2013-01-04,-0.00045
2013-01-07,-0.04022
2013-01-08,-0.10118
2013-01-09,0.00521
2013-01-10,-0.01254
2013-01-11,0.04674
2013-01-14,0.04273
2013-01-15,0.0181
2013-01-16,0.03389
2013-01-17,-0.01936
2013-01-18,0.00926
2013-01-22,-0.00787
2013-01-23,0
2013-01-24,-0.01122
2013-01-25,-0.00944
2013-01-28,-0.02595
2013-01-29,-0.05453
2013-01-30,0.03238
2013-01-31,-0.13916
2013-02-01,-0.02726
2013-02-04,0.00528
2013-02-05,0.02939
2013-02-06,0.0017
2013-02-07,-0.00398
2013-02-08,-0.00399
2013-02-11,-0.01439
2013-02-12,-0.01637
2013-02-13,-0.00769
2013-02-14,0.02057
2013-02-15,-0.0182
2013-02-19,-0.00535
2013-02-20,-0.04134
2013-02-21,-0.01438
2013-02-22,-0.02036
2013-02-25,0.00064
2013-02-26,0.04643
2013-02-27,-0.01172
2013-02-28,0.04607
2013-03-01,0.0065
2013-03-04,-0.0323
2013-03-05,-0.00061
2013-03-06,0.00485
2013-03-07,0.02864
2013-03-08,0.00176
2013-03-11,0.01631
2013-03-12,-0.01572
2013-03-13,0.02778
2013-03-14,0.00114
2013-03-15,-0.00859
2013-03-18,-0.02033
2013-03-19,-0.01538
2013-03-20,0.01244
2013-03-21,-0.00827
2013-03-22,-0.02646
2013-03-25,-0.00673
2013-03-26,0.00429
2013-03-27,0.00122
2013-03-28,-0.00122
2013-04-01,-0.04243
2013-04-02,0.00255
2013-04-03,-0.03691
2013-04-04,0.01441
2013-04-05,-0.03642
2013-04-08,0.00404
2013-04-09,0.00736
2013-04-10,-0.00334
2013-04-11,-0.01347
2013-04-12,-0.00544
2013-04-15,-0.02694
2013-04-16,0.02899
2013-04-17,-0.00409
2013-04-18,0.01962
2013-04-19,-0.03545
2013-04-22,0.06839
2013-04-23,0.08507
2013-04-24,-0.01017
2013-04-25,0.15664
2013-04-26,-0.0093
2013-04-29,-0.01833
2013-04-30,-0.00743
2013-05-01,-0.03909
2013-05-02,0.00497
2013-05-03,0.00823
2013-05-06,-0.00219
2013-05-07,-0.01434
2013-05-08,-0.20935
2013-05-09,-0.02567
2013-05-10,0.05603
2013-05-13,-0.03654
2013-05-14,0.04118
2013-05-15,-0.0093
2013-05-16,-0.01006
2013-05-17,-0.0027
2013-05-20,-0.00678
2013-05-21,-0.03252
2013-05-22,-0.02564
2013-05-23,-0.01527
2013-05-24,0.01815
2013-05-28,-0.01085
2013-05-29,-0.01244
2013-05-30,0.05096
2013-05-31,0.01252
2013-06-03,0
2013-06-04,-0.02025
2013-06-05,0.00141
2013-06-06,-0.00707
2013-06-07,-0.0064
2013-06-10,0.01699
2013-06-11,0.01463
2013-06-12,-0.03376
2013-06-13,0.00855
2013-06-14,-0.03097
2013-06-17,-0.02819
2013-06-18,-0.00226
2013-06-19,-0.00833
2013-06-20,0.01284
2013-06-21,-0.02355
2013-06-24,0.00613
2013-06-25,0.07857
2013-06-26,-0.00212
2013-06-27,0
2013-06-28,0.00775
2013-07-01,0.02702
2013-07-02,-0.03477
2013-07-03,-0.0309
2013-07-05,0.01017
2013-07-08,0.0072
2013-07-09,-0.00359
2013-07-10,0.01642
2013-07-11,0.02518
2013-07-12,0.00414
2013-07-15,-0.00275
2013-07-16,-0.00623
2013-07-17,0.01924
2013-07-18,-0.02691
2013-07-19,0.01458
2013-07-22,0.01708
2013-07-23,-0.01639
2013-07-24,0.01707
2013-07-25,0.02606
2013-07-26,-0.02539
2013-07-29,0.02539
2013-07-30,-0.01663
2013-07-31,-0.03342
2013-08-01,0.01651
2013-08-02,0.00883
2013-08-05,0.04042
2013-08-06,0.00065
2013-08-07,-0.03366
2013-08-08,-0.26863
2013-08-09,-0.00528
2013-08-12,0.00616
2013-08-13,-0.01325
2013-08-14,-0.02794
2013-08-15,-0.01288
2013-08-16,-0.00557
2013-08-19,-0.01029
2013-08-20,-0.01135
2013-08-21,-0.00381
2013-08-22,0.00856
2013-08-23,-0.0019
2013-08-26,0.0345
2013-08-27,-0.0185
2013-08-28,0
2013-08-29,0.01207
2013-08-30,-0.01393
2013-09-03,-0.01034
2013-09-04,0
2013-09-05,0.01873
2013-09-06,0.00463
2013-09-09,0.22775
2013-09-10,-0.03517
2013-09-11,0.10886
2013-09-12,-0.0103
2013-09-13,0.01303
2013-09-16,-0.06327
2013-09-17,0.01369
2013-09-18,0.01774
2013-09-19,0.01397
2013-09-20,-0.01397
2013-09-23,-0.03143
2013-09-24,0.0029
2013-09-25,0.00793
2013-09-26,0.0043
2013-09-27,-0.05435
2013-09-30,0.01051
2013-10-01,0.00966
2013-10-02,0.0205
2013-10-03,-0.00873
2013-10-04,0.01091
2013-10-07,-0.00799
2013-10-08,0.00654
2013-10-09,-0.02865
2013-10-10,0.00594
2013-10-11,0.0292
2013-10-14,-0.00722
2013-10-15,-0.00654
2013-10-16,0.00364
2013-10-17,0.01012
2013-10-18,0.01429
2013-10-21,-0.01429
2013-10-22,-0.04789
2013-10-23,-0.02059
2013-10-24,-0.27899
2013-10-25,-0.02893
2013-10-28,0.15055
2013-10-29,0
2013-10-30,-0.03021
2013-10-31,-0.00093
2013-11-01,-0.00653
2013-11-04,-0.00752
2013-11-05,-0.00094
2013-11-06,0.00189
2013-11-07,-0.01711
2013-11-08,0.02087
2013-11-11,-0.018
2013-11-12,0.03568
2013-11-13,0.00735
2013-11-14,-0.01848
2013-11-15,-0.00843
2013-11-18,-0.04818
2013-11-19,-0.00992
2013-11-20,0.01484
2013-11-21,0.01075
2013-11-22,0.00194
2013-11-25,-0.0426
2013-11-26,-0.02979
2013-11-27,0.00831
2013-11-29,0.03755
2013-12-02,-0.00299
2013-12-03,-0.0387
2013-12-04,-0.01675
2013-12-05,0.03629
2013-12-06,-0.01954
2013-12-09,-0.02951
2013-12-10,-0.03593
2013-12-11,-0.03039
2013-12-12,-0.01613
2013-12-13,-0.02469
2013-12-16,0.00948
2013-12-17,0.03363
2013-12-18,-0.02658
2013-12-19,0.01395
2013-12-20,0.00576
2013-12-23,0.00229
2013-12-24,0.00457
2013-12-26,0.00228
2013-12-27,0.01244
2013-12-30,0
2013-12-31,0.00112
2014-01-02,0.07667
2014-01-03,-0.02313
2014-01-06,-0.03794
2014-01-07,-0.00111
2014-01-08,-0.01336
2014-01-09,-0.03653
2014-01-10,-0.00466
2014-01-13,-0.01175
2014-01-14,0.04054
2014-01-15,0.03239
2014-01-16,-0.0011
2014-01-17,-0.01218
2014-01-21,0.00997
2014-01-22,0.03786
2014-01-23,0.12741
2014-01-24,-0.02269
2014-01-27,-0.00191
2014-01-28,0.00953
2014-01-29,-0.01433
2014-01-30,0.11102
2014-01-31,-0.05397
2014-02-03,-0.01742
2014-02-04,0.01742
2014-02-05,-0.01928
2014-02-06,0.03013
2014-02-07,-0.03757
2014-02-10,0.01758
2014-02-11,-0.0232
2014-02-12,-0.00094
2014-02-13,0.02047
2014-02-14,-0.01578
2014-02-18,0.00838
2014-02-19,-0.01684
2014-02-20,0.00752
2014-02-21,-0.00375
2014-02-24,0.01493
2014-02-25,-0.00557
2014-02-26,0.0221
2014-02-27,0.04279
2014-02-28,-0.0437
2014-03-03,-0.02492
2014-03-04,0.0367
2014-03-05,0.02315
2014-03-06,-0.01956
2014-03-07,0.02044
2014-03-10,0.02347
2014-03-11,0.01872
2014-03-12,0.03399
2014-03-13,-0.04416
2014-03-14,-0.01545
2014-03-17,0.0146
2014-03-18,0.01271
2014-03-19,-0.01356
2014-03-20,0.01692
2014-03-21,-0.02291
2014-03-24,-0.03761
2014-03-25,0.00887
2014-03-26,-0.04888
2014-03-27,-0.01307
